,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,a database model for object dynamics vldb j. 1997,nan,nan,nan,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,nan,0
1,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,nan,nan,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,nan,0
2,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",nan,nan,nan,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,2003.0,1
3,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,nan,nan,coss : the common object services specifications bruce e. martin international conference on management of data,joseph fong,nan,nan,0
4,a database model for object dynamics vldb j. 1997,nan,nan,nan,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,2003.0,0
5,coss : the common object services specifications sigmod conference 1994,nan,vldb j.,nan,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",nan,nan,nan,0
6,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod conference,nan,coss : the common object services specifications bruce e. martin international conference on management of data,joseph fong,nan,nan,1
7,a database model for object dynamics vldb j. 1997,nan,nan,2001.0,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,2003.0,0
8,coss : the common object services specifications sigmod conference 1994,"guozhu dong , jian pei , jiawei han , ke wang",nan,nan,book reviews acm sigmod record 2003,"r. l. grossman , x. qin",international conference on management of data,2002.0,1
9,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996","amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",nan,nan,book reviews acm sigmod record 2003,"maria halkidi , yannis batistakis , michalis vazirgiannis",nan,nan,0
