,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,citrus,' 8284 melrose ave. ',` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_name', 'rtable_phone')","[""` le chardonnay ( los angeles ) '"", '213-655-8880']","['citrus', '213/857 -0034']",1,0,0.09879623,0.90120375,2
1,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,` le chardonnay ( los angeles ) ',' 6703 melrose ave.,` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_addr', 'rtable_phone')","[""' 8284 melrose ave. '"", '213-655-8880']","[""' 6703 melrose ave."", '213/857 -0034']",1,0,0.23685557,0.76314443,2
2,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_city', 'rtable_phone')","[""` los angeles '"", '213-655-8880']","[""` los angeles '"", '213/857 -0034']",1,0,0.3670124,0.6329876,2
3,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,citrus,' 6703 melrose ave.,` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` le chardonnay ( los angeles ) '"", ""' 8284 melrose ave. '"", '213-655-8880']","['citrus', ""' 6703 melrose ave."", '213/857 -0034']",1,0,0.0042619263,0.995738,3
4,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,citrus,' 8284 melrose ave. ',` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` le chardonnay ( los angeles ) '"", ""` los angeles '"", '213-655-8880']","['citrus', ""` los angeles '"", '213/857 -0034']",1,0,0.041922998,0.958077,3
5,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,citrus,' 8284 melrose ave. ',` los angeles ',213/857 -0034,californian,12,"('rtable_name', 'rtable_phone', 'rtable_res_type')","[""` le chardonnay ( los angeles ) '"", '213-655-8880', ""` french bistro '""]","['citrus', '213/857 -0034', 'californian']",1,0,0.024819767,0.97518027,3
6,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,citrus,' 8284 melrose ave. ',` los angeles ',213/857 -0034,` french bistro ',6,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` le chardonnay ( los angeles ) '"", '213-655-8880', 12]","['citrus', '213/857 -0034', 6]",1,0,0.072255194,0.9277448,3
7,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,` le chardonnay ( los angeles ) ',' 6703 melrose ave.,` los angeles ',213/857 -0034,` french bistro ',12,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 8284 melrose ave. '"", ""` los angeles '"", '213-655-8880']","[""' 6703 melrose ave."", ""` los angeles '"", '213/857 -0034']",1,0,0.0073898723,0.99261016,3
8,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,` le chardonnay ( los angeles ) ',' 6703 melrose ave.,` los angeles ',213/857 -0034,californian,12,"('rtable_addr', 'rtable_phone', 'rtable_res_type')","[""' 8284 melrose ave. '"", '213-655-8880', ""` french bistro '""]","[""' 6703 melrose ave."", '213/857 -0034', 'californian']",1,0,0.04613731,0.95386267,3
9,,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,` le chardonnay ( los angeles ) ',' 6703 melrose ave.,` los angeles ',213/857 -0034,` french bistro ',6,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 8284 melrose ave. '"", '213-655-8880', 12]","[""' 6703 melrose ave."", '213/857 -0034', 6]",1,0,0.024721177,0.9752788,3
