,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,gb01959,5.54,new-analog rca volume leveler - dct6s srs,accessories,nan,nan,65.0,1
1,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,35199,nan,new-analog rca volume leveler - dct6s srs,accessories,nan,nan,65.0,1
2,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,nan,nan,new-analog rca volume leveler - dct6s srs,accessories,mayline,nan,119.88,1
3,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,nan,239.88,new-analog rca volume leveler - dct6s srs,scanners,nan,nan,65.0,1
4,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g electronics - general apc be750g 95.88,tv accessories,nan,nan,nan,new-analog rca volume leveler - dct6s srs,switches,nan,nan,65.0,1
5,srs labs analog rca volume leveler srs labs dct6s 59.99,usb drives,nan,gb01959,nan,new-analog rca volume leveler - dct6s srs,accessories,nan,nan,65.0,1
6,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module kingston ktd-dm8400a / 1g 22.92,tv accessories,nan,nan,56.88,new-analog rca volume leveler - dct6s srs,accessories,nan,nan,65.0,1
7,srs labs analog rca volume leveler srs labs dct6s 59.99,printers,nan,pvr135h1,nan,new-analog rca volume leveler - dct6s srs,accessories,nan,nan,65.0,1
8,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,nan,nan,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,accessories,nan,nan,29.99,1
9,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,nan,k087b-005b,nan,new-analog rca volume leveler - dct6s srs,accessories,avf,nan,65.0,1
