,label,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,uniden 5.8 ghz accessory handset and charger tcx905,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,"('ltable_name', 'ltable_price')","['panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b', nan]","['uniden 5.8 ghz accessory handset and charger tcx905', nan]",1,0,0.2909785,0.7090215,2
25,,linksys etherfast,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,"('ltable_name',)",['panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b'],['linksys etherfast'],1,0,0.028132088,0.9718679,2
24,,ethernet switch ezxs88w,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,"('ltable_name', 'ltable_price')","['panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b', nan]","['ethernet switch ezxs88w', nan]",1,0,0.05232107,0.947679,2
23,,ezxs88w ethernet switch ezxs88w,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,"('ltable_name',)",['panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b'],['ezxs88w ethernet switch ezxs88w'],1,0,0.41167486,0.5883252,2
22,,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,399.0,"('rtable_description', 'rtable_price')","['uniden tcx-905 tru-digital expansion handset with caller id', nan]","[""two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish"", 399.0]",1,0,0.40305096,0.59694904,2
21,,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,panasonic kx-tga820b cordless handset,uniden tcx-905 tru-digital expansion handset with caller id,39.76,"('rtable_name', 'rtable_price')","['uniden tcx905 cordless handset tcx905', nan]","['panasonic kx-tga820b cordless handset', 39.76]",1,0,0.3316154,0.6683846,2
20,,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,panasonic kx-tga820b cordless handset,uniden tcx-905 tru-digital expansion handset with caller id,,"('rtable_name',)",['uniden tcx905 cordless handset tcx905'],['panasonic kx-tga820b cordless handset'],1,0,0.26673174,0.73326826,2
19,,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,panasonic kx-tga820b cordless handset,uniden tcx-905 tru-digital expansion handset with caller id,39.76,"('rtable_name', 'rtable_price')","['uniden tcx905 cordless handset tcx905', nan]","['panasonic kx-tga820b cordless handset', 39.76]",1,0,0.3316154,0.6683846,2
18,,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,panasonic kx-tga820b cordless handset,uniden tcx-905 tru-digital expansion handset with caller id,,"('rtable_name',)",['uniden tcx905 cordless handset tcx905'],['panasonic kx-tga820b cordless handset'],1,0,0.26673177,0.73326826,2
17,,uniden tcx905 cordless handset tcx905,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,"('ltable_name', 'ltable_price')","['panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b', nan]","['uniden tcx905 cordless handset tcx905', nan]",1,0,0.461348,0.538652,2
