,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,adobe after effects professional 7.0,,449.99,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer')","['adobe acrobat 7.0 professional', 'adobe']","['adobe after effects professional 7.0', nan]",1,0,0.3653815,0.63461846,2
1,,adobe after effects professional 7.0,adobe,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_price')","['adobe acrobat 7.0 professional', 449.99]","['adobe after effects professional 7.0', 998.95]",1,0,0.040173054,0.95982695,2
3,,adobe after effects professional 7.0 software,,449.99,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer')","['adobe acrobat 7.0 professional', 'adobe']","['adobe after effects professional 7.0 software', nan]",1,0,0.16516547,0.8348346,2
4,,adobe after effects professional 7.0 software,adobe,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_price')","['adobe acrobat 7.0 professional', 449.99]","['adobe after effects professional 7.0 software', 998.95]",1,0,0.03502569,0.96497434,2
6,,adobe after effects professional 7.0 software effects,adobe,449.99,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title',)",['adobe acrobat 7.0 professional'],['adobe after effects professional 7.0 software effects'],1,0,0.3576467,0.6423533,2
7,,adobe after effects professional 7.0 software effects,,449.99,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer')","['adobe acrobat 7.0 professional', 'adobe']","['adobe after effects professional 7.0 software effects', nan]",1,0,0.12382137,0.8761786,2
8,,adobe after effects professional 7.0 software effects,adobe,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_price')","['adobe acrobat 7.0 professional', 449.99]","['adobe after effects professional 7.0 software effects', 998.95]",1,0,0.034555096,0.9654449,2
2,,adobe after effects professional 7.0,,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe acrobat 7.0 professional', 'adobe', 449.99]","['adobe after effects professional 7.0', nan, 998.95]",1,0,0.06478733,0.9352127,3
5,,adobe after effects professional 7.0 software,,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe acrobat 7.0 professional', 'adobe', 449.99]","['adobe after effects professional 7.0 software', nan, 998.95]",1,0,0.04419315,0.95580685,3
9,,adobe after effects professional 7.0 software effects,,998.95,adobe after effects professional 7.0 software effects software,,998.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe acrobat 7.0 professional', 'adobe', 449.99]","['adobe after effects professional 7.0 software effects', nan, 998.95]",1,0,0.04562189,0.9543782,3
