,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,new-quartet 7502 - adjustable cubicle hangers for 1 1 2 to 3 inch panels aluminum black 2 set - qrt7502,graphics cards,evga,512-p3-1301-kr,34.99,"('rtable_title',)",['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr'],['new-quartet 7502 - adjustable cubicle hangers for 1 1 2 to 3 inch panels aluminum black 2 set - qrt7502'],1.0,1.4779977e-18,2
34,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc,graphics cards,xfx,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_brand')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'evga']","['xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc', 'xfx']",0.9999751,2.4864794e-05,2
35,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc,graphics cards,evga,hd677xznlc,34.99,"('rtable_title', 'rtable_modelno')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', '512-p3-1301-kr']","['xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc', 'hd677xznlc']",0.999995,5.033287e-06,2
36,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc,graphics cards,evga,512-p3-1301-kr,128.43,"('rtable_title', 'rtable_price')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 34.99]","['xfx ati radeon hd6770 1 gb ddr5 vga dvi hdmi pci-express video card hd677xznlc', 128.43]",0.99998236,1.7585375e-05,2
81,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,digi dude black coated grey ipad case digi-ipadcc400,laptop netbook computer accessories,evga,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_category')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'graphics cards']","['digi dude black coated grey ipad case digi-ipadcc400', 'laptop netbook computer accessories']",1.0,8.0787625e-12,2
115,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime,graphics cards,evga,plugz with mic,34.99,"('rtable_title', 'rtable_modelno')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', '512-p3-1301-kr']","['ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime', 'plugz with mic']",1.0,5.306827e-09,2
114,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime,graphics cards,ifrogz,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_brand')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'evga']","['ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime', 'ifrogz']",1.0,6.1424688e-09,2
113,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime,headphones,evga,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_category')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'graphics cards']","['ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime', 'headphones']",1.0,4.3403867e-09,2
112,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime,graphics cards,evga,512-p3-1301-kr,34.99,"('rtable_title',)",['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr'],['ifrogz earpollution plugz with mic - headset in-ear ear-bud - lime'],1.0,6.1424923e-09,2
48,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue,graphics cards,evga,512-p3-1301-kr,34.99,"('rtable_title',)",['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr'],['panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue'],0.99999225,7.712641e-06,2
49,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue,digital slr cameras,evga,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_category')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'graphics cards']","['panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue', 'digital slr cameras']",0.9999951,4.94014e-06,2
50,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue,graphics cards,panasonic,512-p3-1301-kr,34.99,"('rtable_title', 'rtable_brand')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', 'evga']","['panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue', 'panasonic']",0.9999645,3.5571687e-05,2
51,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue,graphics cards,evga,dmc-g1 blue,34.99,"('rtable_title', 'rtable_modelno')","['evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr', '512-p3-1301-kr']","['panasonic lumix dmc-g1 12.1 mp digital camera with lumix g vario 14-45 mm f 3.5-5 .6 asph mega ois lens blue', 'dmc-g1 blue']",0.99999917,8.676707e-07,2
