,summary,type,latency,match,label,row,prediction
0,"rtable_venue    1.0
rtable_year     1.0
dtype: float64",certa,60.160718466000006,0.0,0.0,1133-19588,[1.0000000e+00 3.4457905e-20]
1,"rtable_title/rtable_authors    0.1
dtype: float64",certa,70.366542947,0.0,0.0,1829-59186,[1.000000e+00 2.682063e-25]
2,"rtable_title/rtable_authors    0.9
dtype: float64",certa,61.86431608999999,0.0,0.0,1953-5130,[1.0000000e+00 1.1587097e-25]
3,"ltable_title/ltable_authors    0.7
dtype: float64",certa,60.69316556299998,0.0,0.0,2310-28595,[1.0000000e+00 7.7012615e-33]
4,"rtable_title/rtable_authors    0.4
dtype: float64",certa,67.263767438,0.0,0.0,1845-48451,[1.0000000e+00 2.2027289e-35]
5,"rtable_title/rtable_authors    0.6
dtype: float64",certa,64.36463193999998,0.0,0.0,211-2457,[1.0000000e+00 1.0932224e-24]
6,"rtable_venue      0.9
rtable_year       0.9
rtable_authors    0.9
dtype: float64",certa,60.67176295100006,0.0,1.0,1360-11549,[1.0000000e+00 4.6844395e-12]
7,"rtable_title    0.1
dtype: float64",certa,61.312093506,0.0,0.0,652-31280,[1.0000000e+00 1.2366576e-33]
8,"rtable_title/rtable_authors/rtable_venue/rtable_year    0.6
dtype: float64",certa,69.52240293800003,0.0,0.0,1532-60672,[1.000000e+00 3.379167e-21]
9,"rtable_title/rtable_authors/rtable_venue    0.2
dtype: float64",certa,68.43900651399997,0.0,0.0,1991-30712,[1.0000000e+00 1.3803507e-31]
10,"rtable_authors/rtable_venue    0.2
dtype: float64",certa,69.45291348299997,0.0,0.0,1712-41920,[1.0000000e+00 2.3416535e-29]
11,"ltable_title/ltable_authors    0.4
dtype: float64",certa,67.283334266,0.0,0.0,709-45026,[1.0000000e+00 1.0867669e-13]
12,"Series([], dtype: float64)",certa,68.60934327799998,0.0,0.0,2295-8559,[1.0000000e+00 3.4799997e-30]
13,"rtable_title/rtable_authors/rtable_venue    0.8
dtype: float64",certa,66.708104187,0.0,0.0,2579-42314,[1.0000000e+00 5.0569597e-23]
14,"rtable_title      0.0
rtable_authors    0.0
rtable_venue      0.0
rtable_year       0.0
dtype: float64",certa,72.90114713699995,0.0,0.0,696-46108,[1.000000e+00 9.217843e-24]
15,"rtable_title/rtable_authors    0.2
dtype: float64",certa,71.22591202399985,0.0,0.0,659-12273,[1.0000000e+00 5.5826806e-38]
16,"rtable_authors    0.3
dtype: float64",certa,64.12651231900008,0.0,0.0,612-42439,[1.0000000e+00 1.0217279e-31]
17,"ltable_title    0.7
dtype: float64",certa,68.49874123399991,0.0,0.0,2185-10241,[1.000000e+00 4.778396e-17]
18,"rtable_title    0.1
dtype: float64",certa,69.34315657299999,0.0,0.0,980-58492,[1.0000000e+00 1.6738455e-33]
19,"rtable_title    0.3
ltable_title    0.3
dtype: float64",certa,60.94604149099996,0.0,0.0,603-1832,[1.000000e+00 1.831236e-24]
20,"ltable_title/ltable_authors    0.7
dtype: float64",certa,58.35694070599993,0.0,0.0,2310-35508,[1. 0.]
21,"rtable_authors    0.5
dtype: float64",certa,25.48670735299993,0.0,1.0,1381-47050,[1.0000000e+00 3.3566683e-15]
22,"ltable_title/ltable_authors/ltable_venue/ltable_year    0.3
dtype: float64",certa,70.24295740799994,0.0,0.0,1084-26734,[1.0000000e+00 1.4328615e-28]
23,"ltable_title/ltable_authors/ltable_venue    0.5
dtype: float64",certa,65.61954950900008,0.0,0.0,1883-15003,[1.0000000e+00 2.8485828e-30]
24,"rtable_title    0.6
dtype: float64",certa,63.22899820700013,0.0,0.0,2036-47255,[1.0000000e+00 2.7268396e-30]
25,"ltable_title/ltable_venue    1.0
dtype: float64",certa,74.02071062499999,0.0,0.0,2588-7916,[1.000000e+00 2.225952e-18]
26,"ltable_title/ltable_authors    0.9
dtype: float64",certa,12.249535728999945,0.0,0.0,1435-59475,[1.0000000e+00 2.0683198e-14]
27,"rtable_title/rtable_authors/rtable_venue    0.5
dtype: float64",certa,65.34364514399999,0.0,0.0,800-29677,[1.0000000e+00 1.1159903e-28]
28,"rtable_title/rtable_authors    0.1
rtable_title/rtable_year       0.1
dtype: float64",certa,64.56509457099992,0.0,0.0,806-6887,[1.0000000e+00 1.8634865e-20]
29,"rtable_title/rtable_authors    0.4
dtype: float64",certa,58.24241070900007,0.0,0.0,925-52718,[1.000000e+00 5.501098e-24]
30,"rtable_title/rtable_venue    0.3
dtype: float64",certa,59.89252806899981,0.0,0.0,1856-43531,[1.0000000e+00 1.5665037e-20]
31,"rtable_title      0.0
rtable_authors    0.0
rtable_venue      0.0
rtable_year       0.0
dtype: float64",certa,70.90597533399978,0.0,0.0,74-40649,[1.0000000e+00 3.8894706e-29]
32,"rtable_title/rtable_authors    0.9
dtype: float64",certa,65.70269079499985,0.0,0.0,2538-15659,[1.0000000e+00 1.1039433e-22]
33,"rtable_title    0.1
dtype: float64",certa,55.628497123000216,0.0,0.0,19-6261,[1.0000000e+00 5.9439948e-33]
34,"rtable_title    0.4
dtype: float64",certa,58.109657422000055,0.0,0.0,1391-10963,[1.00000e+00 8.18575e-21]
35,"rtable_title    0.1
dtype: float64",certa,56.146153028999834,0.0,0.0,2113-4298,[1.0000000e+00 2.8649473e-25]
36,"ltable_title    0.4
dtype: float64",certa,55.254071291999935,0.0,0.0,997-53122,[1.0000000e+00 1.1391653e-28]
37,"rtable_title    0.3
ltable_title    0.3
dtype: float64",certa,60.92286659299998,0.0,0.0,667-8795,[1.0000000e+00 1.1441612e-27]
38,"rtable_title/rtable_authors    0.6
dtype: float64",certa,47.887099316999866,0.0,0.0,2076-38242,[1.0000000e+00 1.2895552e-26]
39,"rtable_title    0.1
dtype: float64",certa,66.31055968100009,0.0,0.0,425-50887,[1.0000000e+00 2.5737805e-33]
40,"rtable_title/rtable_authors    0.5
dtype: float64",certa,64.81142809999983,0.0,0.0,1487-16499,[1.000000e+00 1.008697e-30]
41,"rtable_authors    1.0
rtable_year       1.0
dtype: float64",certa,65.0838919580001,0.0,1.0,846-53598,[1.0000000e+00 3.3382701e-21]
42,"ltable_title/ltable_authors    0.4
dtype: float64",certa,17.8387841939998,0.0,0.0,1785-42348,[1.000000e+00 1.105294e-18]
43,"rtable_title/rtable_authors    0.3
rtable_title/rtable_venue      0.3
dtype: float64",certa,55.85055762999991,0.0,0.0,1357-50278,[1.0000000e+00 1.3996846e-29]
44,"ltable_title/ltable_authors    0.3
dtype: float64",certa,50.46462647499993,0.0,0.0,1640-55264,[1.000000e+00 5.452268e-26]
45,"rtable_title/rtable_authors    0.4
dtype: float64",certa,19.447858044999975,0.0,0.0,2213-26608,[1.000000e+00 7.900835e-12]
46,"rtable_title/rtable_authors/rtable_venue    0.9
dtype: float64",certa,48.99537189500006,0.0,0.0,2388-27440,[1.000000e+00 5.702026e-23]
47,"rtable_title/rtable_authors/rtable_venue    0.5
dtype: float64",certa,58.242857205999826,0.0,0.0,2510-18329,[1.0000000e+00 1.5568065e-26]
48,"rtable_title      0.0
rtable_authors    0.0
rtable_venue      0.0
rtable_year       0.0
dtype: float64",certa,64.59160394599985,0.0,0.0,479-14191,[1.0000000e+00 4.4619634e-25]
49,"rtable_title/rtable_authors/rtable_venue    0.5
dtype: float64",certa,47.34092623600009,0.0,1.0,670-2835,[1.0000000e+00 4.1562975e-24]
