,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,( mac ) apple,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['( mac ) apple', nan]",1,0,0.11422825,0.8857717,2
20,,.,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['.', nan]",1,0,0.08848997,0.91151005,2
18,,mac ) apple,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['mac ) apple', 99.99]",1,0,0.027006019,0.97299397,2
17,,mac ) apple,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['mac ) apple', nan]",1,0,0.117298685,0.88270134,2
14,,. mac (,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['. mac (', 99.99]",1,0,0.03468113,0.9653188,2
13,,. mac (,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['. mac (', nan]",1,0,0.06790192,0.9320981,2
21,,.,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['.', 99.99]",1,0,0.06559613,0.9344039,2
10,,) apple,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","[') apple', nan]",1,0,0.06877337,0.9312267,2
11,,) apple,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","[') apple', 99.99]",1,0,0.022527736,0.97747225,2
7,,. mac,,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['. mac', nan]",1,0,0.2164523,0.78354776,2
4,,. mac ( mac ),macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['. mac ( mac )', 99.99]",1,0,0.03439866,0.9656014,2
3,,. mac ( mac ),,29.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer')","['halo ( mac )', 'macsoft']","['. mac ( mac )', nan]",1,0,0.048581272,0.95141876,2
1,,( mac ) apple,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['( mac ) apple', 99.99]",1,0,0.038874924,0.961125,2
8,,. mac,macsoft,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_price')","['halo ( mac )', 29.99]","['. mac', 99.99]",1,0,0.042029534,0.95797044,2
9,,. mac,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['. mac', nan, 99.99]",1,0,0.036079317,0.96392065,3
6,,halo ( mac ),macsoft,29.99,2007 1u,hummingbird communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['. mac ( mac ) apple', nan, 99.99]","['2007 1u', 'hummingbird communications', nan]",1,0,0.46155408,0.53844595,3
12,,) apple,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","[') apple', nan, 99.99]",1,0,0.03294767,0.9670523,3
5,,. mac ( mac ),,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['. mac ( mac )', nan, 99.99]",1,0,0.030680366,0.9693196,3
15,,. mac (,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['. mac (', nan, 99.99]",1,0,0.03359682,0.96640325,3
16,,halo ( mac ),macsoft,29.99,upgrade 3d for exceed 2007 1u,communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['. mac ( mac ) apple', nan, 99.99]","['upgrade 3d for exceed 2007 1u', 'communications', nan]",1,0,0.4341815,0.5658185,3
2,,( mac ) apple,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['( mac ) apple', nan, 99.99]",1,0,0.08316821,0.91683173,3
19,,mac ) apple,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['mac ) apple', nan, 99.99]",1,0,0.040780067,0.95922,3
22,,.,,99.99,. mac ( mac ) apple,,99.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['halo ( mac )', 'macsoft', 29.99]","['.', nan, 99.99]",1,0,0.03400447,0.96599555,3
