,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,proceedings of acm sigmod conference,nan,1
1,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1996.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,proceedings of acm sigmod conference,nan,1
2,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"proceedings of the acm sigmod international conference on & hellip ; ,",nan,1
3,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"ph. d. , university of california , santa",1991.0,1
4,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"conference on management of data . washington ,",1977.0,1
5,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1998.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",nan,1
6,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1995.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"data engineering , 2004 . proceedings . 20th international",nan,1
7,"s trisolini , m lenzerini , d nardi","olap , relational , and multidimensional database systems",sigmod conference,2002.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,nan,nan,1
8,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,nan,1999.0,1
9,"s trisolini , m lenzerini , d nardi",data integration and warehousing in telecom italia,sigmod conference,1999.0,"d calvanese , l dragone , d nardi , r rosati , sm",enterprise modeling and data warehousing in telecom italia,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",nan,1
