,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,da-lite,electronics - general,nan,39.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
1,da-lite,stationery & office machinery,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
2,da-lite,stationery & office machinery,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,accessories,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
3,pny,electronics - general,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
4,da-lite,electronics - general,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
5,da-lite,electronics - general,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,arrowmounts,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
6,pny,mp3 accessories,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
7,da-lite,electronics - general,nan,8.88,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
8,antec,electronics - general,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
9,kingston,electronics - general,nan,4612.99,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,da-lite,nan,nan,nan,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,1
