,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Papercut [ feat . Troye Sivan ],4:03,0
1,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009","Lift me up ( feat . Nico & Vinz , Ladysmith Black Mambazo )",4:03,0
2,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Wonder [ feat . Emeli SandÌ © ],4:03,0
3,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:03,0
4,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,"Young , Wild & Free ( feat . Bruno Mars )",4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ],4:03,0
5,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Lifted ( feat . Emeli Sand ' © & Professor Green ),4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ],4:03,0
6,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ],4:03,0
7,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Rise ( feat . Skylar Grey ),4:03,0
8,Flight School,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",One Love ( Feat . Estelle ; Continuous Mix Version ),4:03,0
9,Talk Dirty ( feat . 2 Chainz ) [ TJR Remix ] - Single,Wiz Khalifa,2009 Rostrum Records,"Hip-Hop/Rap , Music",$ 0.99,17-Apr-09,Extra Extra Credit,4:03,Flight School [ Explicit ],Wiz Khalifa,2013 Mad Decent,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ],4:03,0
