,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,hard drives,atrend,a361-12cp,56.88,accell ultraav b101b-003b display port with vga active adapter,coaxial speakers,atrend-bbox,97556,88.85,0
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,networking,belkin,a361-12cp,56.88,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,coaxial speakers,atrend-bbox,a362-12cp,84.99,0
2,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,hard drives,atrend,a361-12cp,249.99,accell ultraav b101b-003b display port with vga active adapter,coaxial speakers,atrend-bbox,97556,88.85,0
3,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,hard drives,atrend,a361-12cp,249.99,accell ultraav b101b-003b display port with vga active adapter,switches,atrend-bbox,97556,88.85,0
4,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,car stereos,elite screens,a361-12cp,56.88,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,laminating supplies,atrend-bbox,b101b-003b,88.85,0
5,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,networking,belkin,27915,56.88,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,coaxial speakers,atrend-bbox,a362-12cp,84.99,0
6,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,car stereos,atrend,dr-2010c,56.88,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,cordless telephones,atrend-bbox,a362-12cp,88.85,0
7,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,car stereos,elite screens,a361-12cp,56.88,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,laminating supplies,atrend-bbox,b101b-003b,203.95,0
8,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,networking,belkin,27915,56.88,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,usb flash drives,atrend-bbox,a362-12cp,84.99,0
9,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,mp3 accessories,tribeca,a361-12cp,9.84,uniden slimline corded phone with cid cw - un-1260bk,batteries chargers accessories,atrend-bbox,it4ll-gmt,88.85,0
