,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Bushfire American Red,Red Rock Brewing Company,American Amber / Red Ale,8.70 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,1
1,Red Rock Opie Red Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.00 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,1
2,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,Pizza Port Rhino Chaser Imperial Red Ale,Good People Brewing Company,Irish Ale,6 %,1
3,Blue Bridge Amber Dry Hopped,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,4.60 %,1
4,Honey Amber Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,Genesee Brew House American Red Ale,Council Rock Brewery,Irish Ale,6 %,1
5,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Laurelwood Public House & Brewery,Irish Ale,6 %,1
6,Red Rock Opie Red Ale,Red Rock Brewing Company,American Barleywine,4.00 %,Council Rock Sleeping Lion Red Ale,Kern River Brewing,Irish Ale,6 %,1
7,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,9.90 %,Council Rock Sleeping Lion Red Ale,Winthrop Brewing Company,Irish Ale,6 %,1
8,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,8.70 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6.50 %,1
9,Red Rock Opie Red Ale,Straight To Ale,American Amber / Red Ale,4.00 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,1
