,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 160 e. 64th st. ',` new york ',22.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',38.0,` dusit thai ',212-223-5656,` french bistro ',0
1,' 160 e. 64th st. ',` new york ',38.0,` circus circus ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',667.0,` jo jo ',212-223-5656,` french bistro ',0
2,' 160 e. 64th st. ',` new york ',38.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',12.0,` island spice ',212-223-5656,` french bistro ',0
3,' 160 e. 64th st. ',` new york ',38.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',662.0,` jo jo ',212-223-5656,` french bistro ',0
4,' 160 e. 64th st. ',` new york ',38.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',74.0,` jo jo ',702-733-8899,` french bistro ',0
5,' 160 e. 64th st. ',` new york ',443.0,oritalia,212/223 -5656,american,' 160 e. 64th st. ',` new york city ',38.0,` jo jo ',212-223-5656,` french bistro ',0
6,' 160 e. 64th st. ',` new york ',38.0,` le perigord ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',567.0,` jo jo ',212-223-5656,` french bistro ',0
7,' 160 e. 64th st. ',` new york ',72.0,` jo jo ',212/223 -5656,` steak houses ',' 160 e. 64th st. ',` new york city ',38.0,` jo jo ',212-223-5656,` french bistro ',0
8,' 160 e. 64th st. ',` new york ',140.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',` new york city ',38.0,` jo jo ',702-731-7110,` french bistro ',0
9,' 160 e. 64th st. ',` new york ',325.0,` jo jo ',212/223 -5656,american,' 160 e. 64th st. ',la,38.0,` jo jo ',212-223-5656,` french bistro ',0
