,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Titan Rock Red,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Rock Bottom Red Ale'],['Titan Rock Red'],0.23417525,0.76582474,2
66,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.14584965,0.85415035,2
65,Rock Bottom Red Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name',)",['Rock Bottom Restaurant & Brewery'],['Matt Brewing Company / Saranac Brewery'],0.11469824,0.88530177,2
103,Fat Cat Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Style')","['Rock Bottom Red Ale', 'American Amber / Red Ale']","['Fat Cat Red Ale', 'American Amber / Red Ale']",0.11711451,0.8828855,2
104,Fat Cat Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.50 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_ABV')","['Rock Bottom Red Ale', '5.60 %']","['Fat Cat Red Ale', '4.50 %']",0.2697594,0.7302406,2
105,Rock Bottom Red Ale,Beer Here,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Rock Bottom Restaurant & Brewery', 'American Amber / Red Ale']","['Beer Here', 'American Amber / Red Ale']",0.1429058,0.85709417,2
106,Rock Bottom Red Ale,Beer Here,American Amber / Red Ale,4.50 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Rock Bottom Restaurant & Brewery', '5.60 %']","['Beer Here', '4.50 %']",0.13600951,0.8639905,2
60,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.30 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '5.60 %']","['American Amber / Red Ale', '5.30 %']",0.40100303,0.59899694,2
59,Rock Bottom Red Ale,Schmohz Brewing Company,American Amber / Red Ale,5.30 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Rock Bottom Restaurant & Brewery', '5.60 %']","['Schmohz Brewing Company', '5.30 %']",0.13520658,0.8647934,2
67,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,7.50 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_ABV',)",['5.60 %'],['7.50 %'],0.2704795,0.72952056,2
58,Rock Bottom Red Ale,Schmohz Brewing Company,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Rock Bottom Restaurant & Brewery', 'American Amber / Red Ale']","['Schmohz Brewing Company', 'American Amber / Red Ale']",0.12699719,0.8730028,2
56,Amber Tease,Schmohz Brewing Company,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rock Bottom Red Ale', 'Rock Bottom Restaurant & Brewery']","['Amber Tease', 'Schmohz Brewing Company']",0.15739934,0.8426006,2
55,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.30 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_ABV',)",['5.60 %'],['5.30 %'],0.40100273,0.59899724,2
54,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.14584962,0.85415035,2
53,Rock Bottom Red Ale,Schmohz Brewing Company,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Brew_Factory_Name',)",['Rock Bottom Restaurant & Brewery'],['Schmohz Brewing Company'],0.12699719,0.8730028,2
52,Amber Tease,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,"('ltable_Beer_Name',)",['Rock Bottom Red Ale'],['Amber Tease'],0.22964641,0.77035356,2
