,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Inception Series - Runnin ' With The Devil,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,0
1,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Big Time Lift Ticket American Red Ale,Iron Horse Brewery,Amber Ale,5.40 %,0
2,Rocket City Red,Revival Brewing Co. .,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,0
3,Inception Series - Runnin ' With The Devil,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Alley Kat Brewing Company,Amber Ale,5.40 %,0
4,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Big Time Lift Ticket American Red Ale,Baranof Island Brewing Company,Amber Ale,5.40 %,0
5,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Kern River Dirty Hippie Imperial Red Ale,Scuttlebutt Brewing Co. .,Amber Ale,5.40 %,0
6,Inception Series - Runnin ' With The Devil,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,5.40 %,0
7,Rock Bottom Red Ale,Central City Brewers + Distillers,American Barleywine,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,0
8,Twisted Stick Amber Ale,Rock Bottom Restaurant & Brewery,American Barleywine,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,0
9,Inception Series - Runnin ' With The Devil,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,4.60 %,0
