,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,449.99,adobe creative suite cs3 production premium upsell,sibelius-software-ltd .,808.15,palo alto business plan pro 2007,1
1,global-software-publishing,1199.0,microsoft works suite 2006,global-software-publishing,85.95,production prem cs3 mac upgrad,1
2,sony-pictures-digital-entertainment,1199.0,reel deal casino championship edition,sibelius-software-ltd .,99.99,production prem cs3 mac upgrad,0
3,sony-pictures-digital-entertainment,1199.0,steinberg nuendo 3 digital audio software,global-software-publishing,808.15,production prem cs3 mac upgrad,1
4,global-software-publishing,1199.0,adobe creative suite cs3 production premium upsell,global-software-publishing,29.99,aspyr media inc sims 2 glamour life stuff pack,1
5,global-software-publishing,39.99,sims 2 glamour life stuff pack,sibelius-software-ltd .,808.15,production prem cs3 mac upgrad,1
6,global-software-publishing,1199.0,hp dss software v. 4.0 complete package t1936aa ua0 ),global-software-publishing,808.15,adobe after effects professional 7.0 software effects software,1
7,sony-pictures-digital-entertainment,273.0,steinberg nuendo 3 digital audio software,global-software-publishing,808.15,production prem cs3 mac upgrad,1
8,global-software-publishing,449.99,microsoft office frontpage 2003 academic version windows ),sibelius-software-ltd .,808.15,palo alto business plan pro 2007,1
9,global-software-publishing,1199.0,hp dss software v. 4.0 complete package t1936aa ua0 ),global-software-publishing,47.36,production prem cs3 mac upgrad,1
