,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,usb drives,sony,nan,24.99,da-glas base rear projection screen - 70 x 70 av format,usb flash drives,verbatim,97556,21.99,0
1,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,usb drives,verbatim,hd527b3,59.99,epson t048220 cyan ink cartridge,bags cases,verbatim,ktd-ws667 / 8g,10.98,0
2,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,hard drives,verbatim,it4ll-wht,11.98,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,usb flash drives,verbatim,p-sdhc4g4-ef / navy,10.98,0
3,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,usb drives,arkon,nan,0.0,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,usb flash drives,verbatim,97556,10.98,0
4,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,hard drives,verbatim,it4ll-wht,11.98,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,usb flash drives,verbatim,p-sdhc4g4-ef / navy,230.74,0
5,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,usb drives,verbatim,nan,11.98,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,memory,verbatim,it4ll-gmt,94.49,0
6,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,usb drives,sony,p-sdhc4g4-ef,24.99,da-glas base rear projection screen - 70 x 70 av format,usb flash drives,verbatim,97556,21.99,0
7,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,usb drives,iogear,35199,258.84,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,usb flash drives,motion systems,hx-mta64da / g32,10.98,1
8,srs labs analog rca volume leveler,usb drives,pny,89939,58.0,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505,blank media,verbatim,icon4-blk,180.95,0
9,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,hard drives,verbatim,it4ll-wht,11.98,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,usb flash drives,avf,p-sdhc4g4-ef / navy,230.74,0
