,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,novel approaches in query processing for moving object trajectories,"d pfoser , c jensen , y theodoridis",sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_authors')","['olap , relational , and multidimensional database systems', 'g colliat']","['novel approaches in query processing for moving object trajectories', 'd pfoser , c jensen , y theodoridis']",0.05920452,0.94079554,2
30,"et tu , xml ? the downfall of the relational empire ( abstract )",g colliat,sigmod record,2001,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_year')","['olap , relational , and multidimensional database systems', 1996]","['et tu , xml ? the downfall of the relational empire ( abstract )', 2001]",0.13413745,0.86586255,2
29,"et tu , xml ? the downfall of the relational empire ( abstract )",g colliat,vldb,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_venue')","['olap , relational , and multidimensional database systems', 'sigmod record']","['et tu , xml ? the downfall of the relational empire ( abstract )', 'vldb']",0.020972267,0.9790277,2
28,"et tu , xml ? the downfall of the relational empire ( abstract )",p wadler,sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_authors')","['olap , relational , and multidimensional database systems', 'g colliat']","['et tu , xml ? the downfall of the relational empire ( abstract )', 'p wadler']",0.29513723,0.7048628,2
27,"et tu , xml ? the downfall of the relational empire ( abstract )",g colliat,sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title',)","['olap , relational , and multidimensional database systems']","['et tu , xml ? the downfall of the relational empire ( abstract )']",0.16881801,0.831182,2
23,erratum : a database model for object dynamics,"m papazoglou , b krфmer",sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_authors')","['olap , relational , and multidimensional database systems', 'g colliat']","['erratum : a database model for object dynamics', 'm papazoglou , b krфmer']",0.18288958,0.8171105,2
35,wsq/dsq : a practical approach for combined querying of databases and the web,g colliat,sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title',)","['olap , relational , and multidimensional database systems']",['wsq/dsq : a practical approach for combined querying of databases and the web'],0.14123096,0.85876906,2
17,gea : a toolkit for gene expression analysis,g colliat,sigmod conference,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_venue')","['olap , relational , and multidimensional database systems', 'sigmod record']","['gea : a toolkit for gene expression analysis', 'sigmod conference']",0.01715843,0.9828416,2
16,gea : a toolkit for gene expression analysis,"j phan , r ng",sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_authors')","['olap , relational , and multidimensional database systems', 'g colliat']","['gea : a toolkit for gene expression analysis', 'j phan , r ng']",0.013131921,0.98686814,2
14,thinksheet : a tool for tailoring complex documents,"p piatko , r yangarber , d lin , d shasha",sigmod record,1996,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,"('ltable_title', 'ltable_authors')","['olap , relational , and multidimensional database systems', 'g colliat']","['thinksheet : a tool for tailoring complex documents', 'p piatko , r yangarber , d lin , d shasha']",0.08235683,0.91764313,2
