,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,g colliat,sigmod record,2002.0,performance evaluation of a temporal database management system,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",nan,0
1,indexing the positions of continuously moving objects,g colliat,sigmod record,2002.0,performance evaluation of a temporal database management system,"l jianzhong , j srivastava , d rotem","intelligent data analysis ,",nan,0
2,database research at arizona state university,g colliat,sigmod record,1996.0,"university of illinois , urbana","l jianzhong , j srivastava , d rotem","proc . of vldb ,",1991.0,0
3,indexing the positions of continuously moving objects,g colliat,sigmod record,2002.0,performance evaluation of a temporal database management system,"i solis , k obraczka","intelligent data analysis ,",nan,0
4,database research at arizona state university,g colliat,vldb,1996.0,"university of illinois , urbana","l jianzhong , j srivastava , d rotem","proc . of vldb ,",1991.0,0
5,indexing the positions of continuously moving objects,g colliat,vldb j.,2000.0,"data management in ecommerce : the good , the bad , and the ugly","l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",1992.0,0
6,indexing the positions of continuously moving objects,g colliat,sigmod record,2002.0,performance evaluation of a temporal database management system,"i solis , k obraczka","intelligent data analysis ,",1997.0,0
7,dyda : data warehouse maintenance in fully concurrent environments,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod record,1996.0,"university of illinois , urbana","l jianzhong , j srivastava , d rotem","proc of vldb ,",nan,0
8,indexing the positions of continuously moving objects,g colliat,vldb j.,2000.0,"data management in ecommerce : the good , the bad , and the ugly","d calvanese , l dragone , d nardi , r rosati , sm","proceedings of international conference on vldb , august ,",1992.0,0
9,reminiscences on influential papers,g colliat,vldb,2002.0,database research at hp labs,"v ganti , ml lee , r ramakrishnan","the vldb journal the international journal on very large & hellip ; ,",2005.0,0
