,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",binding propagation in disjunctive databases,sigmod record,1998.0,sergio greco,binding propagation in disjunctive databases,very large data bases,1998.0,0
1,sergio greco,binding propagation in disjunctive databases,vldb,1998.0,sergio greco,research issues for data communication in mobile ad-hoc network database systems,very large data bases,1998.0,0
2,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",binding propagation in disjunctive databases,vldb,1998.0,sergio greco,book reviews,very large data bases,1998.0,0
3,sergio greco,the piazza peer data management project,vldb,1998.0,"chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman",binding propagation in disjunctive databases,very large data bases,1998.0,0
4,"v. s. subrahmanian , eric lemar , k. selçuk candan",binding propagation in disjunctive databases,vldb,1998.0,sergio greco,navigating large-scale semi-structured data in business portals,very large data bases,1998.0,0
5,sergio greco,binding propagation in disjunctive databases,sigmod conference,2000.0,sergio greco,binding propagation in disjunctive databases,very large data bases,1998.0,0
6,sergio greco,sql/xml is making good progress,vldb,1998.0,"thomas seidl , hans-peter kriegel",binding propagation in disjunctive databases,very large data bases,1998.0,0
7,sergio greco,binding propagation in disjunctive databases,vldb,1996.0,"kenneth a. ross , divesh srivastava",binding propagation in disjunctive databases,very large data bases,1998.0,0
8,sergio greco,binding propagation in disjunctive databases,vldb,1998.0,"per - &#197; ke larson , jonathan goldstein , jingren zhou",networked data management design points,very large data bases,1998.0,0
9,sergio greco,binding propagation in disjunctive databases,vldb,1998.0,"paolo atzeni , alberto o. mendelzon",binding propagation in disjunctive databases,very large data bases,2000.0,0
