,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,499.95,quicken 2007 basic,sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,1
1,sony-pictures-digital-entertainment,499.95,sony acid pro 6 professional music workstation,sibelius-software-ltd .,179.95,passwords plus v. 1.0 complete package,1
2,sony-pictures-digital-entertainment,499.95,final draft av 2.5 win/mac,sibelius-software-ltd .,179.95,instant immersion 33 languages,1
3,sony-pictures-digital-entertainment,499.95,microsoft works suite 2006,sibelius-software-ltd .,179.95,phantom efx reel deal casino shuffle master edition,1
4,hewlett-packard - ( consumables ),499.95,microsoft publisher 2007 version upgrade,sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,1
5,sony-pictures-digital-entertainment,499.95,musicalis guitar workshop,sibelius-software-ltd .,199.95,sibelius photoscore professional scanning software music production software,1
6,sony-pictures-digital-entertainment,499.95,sony acid pro 6 professional music workstation,global-software-publishing,179.95,microsoft ( r ) windows ( r ) xp professional edition with sp2,1
7,global-software-publishing,499.95,sony acid pro 6 professional music workstation,sibelius-software-ltd .,23.44,sibelius photoscore professional scanning software music production software,1
8,global-software-publishing,499.95,microsoft office 2004 professional ( mac ),sibelius-software-ltd .,179.95,sibelius photoscore professional scanning software music production software,1
9,sony-pictures-digital-entertainment,499.95,sony acid pro 6 professional music workstation,sibelius-software-ltd .,179.95,phantom efx reel deal casino shuffle master edition,1
