,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,9.99,quicken 2007 basic,global-software-publishing,12.9,musicalis universal guitar workshop,0
1,global-software-publishing,9.99,musicalis guitar workshop,apple software,12.9,musicalis universal guitar workshop,0
2,microsoft licenses,9.99,musicalis guitar workshop,global-software-publishing,12.9,musicalis universal guitar workshop,0
3,macsoft,9.99,musicalis guitar workshop,global-software-publishing,12.9,musicalis universal guitar workshop,0
4,global-software-publishing,9.99,punch 5 in 1 home design,global-software-publishing,12.9,musicalis universal guitar workshop,0
5,global-software-publishing,9.99,professional home design suite platinum,global-software-publishing,12.9,musicalis universal guitar workshop,0
6,global-software-publishing,9.99,musicalis guitar workshop,global-software-publishing,12.9,ghost recon gold edition ( dvd-rom ),0
7,global-software-publishing,9.99,adobe photoshop elements 4.0 ( mac ),global-software-publishing,12.9,musicalis universal guitar workshop,0
8,global-software-publishing,9.99,musicalis guitar workshop,global-software-publishing,12.9,microsoft excel 2007 ( pc ),0
9,phantom efx,9.99,musicalis guitar workshop,global-software-publishing,12.9,musicalis universal guitar workshop,0
