,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Fat Head_s Brewery & Saloon,Amber Ale,4.60 %,"('rtable_Brew_Factory_Name',)",['Third Base Sports Bar & Brewery'],['Fat Head_s Brewery & Saloon'],0.21438022,0.7856198,2
30,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company,Amber Ale,4.60 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Third Base Red Rocket Amber Ale', 'Third Base Sports Bar & Brewery']","['Flying Fish Pescade Rojo Grande', 'Flying Fish Brewing Company']",0.4990625,0.5009374,2
31,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Flying Fish Pescade Rojo Grande,Third Base Sports Bar & Brewery,American Strong Ale,4.60 %,"('rtable_Beer_Name', 'rtable_Style')","['Third Base Red Rocket Amber Ale', 'Amber Ale']","['Flying Fish Pescade Rojo Grande', 'American Strong Ale']",0.23496169,0.76503825,2
36,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Fruit Beer,4.60 %,"('rtable_Style',)",['Amber Ale'],['Fruit Beer'],0.49147293,0.50852704,2
37,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.30 %,"('rtable_ABV',)",['4.60 %'],['4.30 %'],0.47013846,0.52986157,2
38,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Bad Seed,Fruit Beer,4.60 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Third Base Sports Bar & Brewery', 'Amber Ale']","['Bad Seed', 'Fruit Beer']",0.34005842,0.65994155,2
39,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Fruit Beer,4.30 %,"('rtable_Style', 'rtable_ABV')","['Amber Ale', '4.60 %']","['Fruit Beer', '4.30 %']",0.4115069,0.5884931,2
40,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Flat 12 Bierwerks,Amber Ale,4.60 %,"('rtable_Brew_Factory_Name',)",['Third Base Sports Bar & Brewery'],['Flat 12 Bierwerks'],0.39450434,0.60549563,2
41,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.70 %,"('rtable_ABV',)",['4.60 %'],['4.70 %'],0.27497387,0.72502613,2
42,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Flat 12 Bierwerks,Amber Ale,4.70 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Third Base Sports Bar & Brewery', '4.60 %']","['Flat 12 Bierwerks', '4.70 %']",0.44234776,0.5576523,2
43,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,"('rtable_Style',)",['Amber Ale'],['Amber Ale'],0.3030208,0.6969791,2
44,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,6.50 %,"('rtable_ABV',)",['4.60 %'],['6.50 %'],0.15843888,0.84156114,2
29,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Third Base Red Rocket Amber Ale,Flying Fish Brewing Company,Amber Ale,4.60 %,"('rtable_Brew_Factory_Name',)",['Third Base Sports Bar & Brewery'],['Flying Fish Brewing Company'],0.47027925,0.52972084,2
45,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,Lake Superior Mesabi Red,Third Base Sports Bar & Brewery,Amber Ale,6.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Third Base Red Rocket Amber Ale', '4.60 %']","['Lake Superior Mesabi Red', '6.50 %']",0.3554294,0.6445706,2
