,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match,label
0,1133,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,19588,efficient algorithm for projected clustering,"enk ka , aw fu",,,2.0917127e-05,0
1,1953,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,5130,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,2.1764585e-05,0
2,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,28595,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,1.9172054e-05,0
3,1845,a language based multidatabase system,"e kќhn , t tschernko , k schwarz",sigmod conference,1994,48451,a classification of multi-database languages,"m tresch , mh scholl , ibmar center , ca san jose","parallel and distributed information systems , 1994. , & hellip ; ,",1994.0,2.0620393e-05,0
4,211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,2457,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz","vldb ,",1998.0,2.1136679e-05,0
5,652,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996,31280,multi-query optimization,tk sellis,"acm trans . on database systems ,",,1.941383e-05,0
6,1991,interview with jim gray,,,2003,30712,interview with authors,e larson,"san diego ,",,0.0051331734,0
7,1712,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,41920,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,3.5771023e-05,0
8,709,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0,3.8439463e-05,0
9,2295,guest editorial,,,2003,8559,guest editor 's introduction,portal.acm.org,,,0.0065401383,0
10,2579,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan , f sadri , i subramanian",vldb,1996,42314,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",,2.3358418e-05,0
11,696,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0,2.012837e-05,0
12,659,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,1.8541718e-05,0
13,612,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,42439,mining association rules from quantitative data,"tp hong , cs kuo , sc chi","intelligent data analysis ,",1999.0,1.8167533e-05,0
14,2185,grid data management systems & services,,,2003,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0,2.056568e-05,0
15,980,data integration and warehousing in telecom italia,"s trisolini , m lenzerini , d nardi",sigmod conference,1999,58492,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,,2.587202e-05,0
16,603,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,1832,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,2.0972713e-05,0
17,2310,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,35508,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,2.0427253e-05,0
18,1084,merge replication in microsoft 's sql server 7.0,b hammond,sigmod conference,1999,26734,data cleaning in microsoft sql server 2005,"s chaudhuri , k ganjam , v ganti , r kapoor , v","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,2.08839e-05,0
19,1883,multiple-view self-maintenance in data warehousing environments,n huyn,vldb,1997,15003,"j , hammer , j. widom . view maintenance in a warehousing environment","y zhuge , h garcia-molina",proc . of the acm sigmod intl. conf . on management of,,2.6461228e-05,0
20,2036,a system for keyword proximity search on xml databases,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",vldb,2003,47255,keyword search in databases,sv rajnikant,,,1.938458e-05,0
21,2588,guest editor 's introduction,,,2002,7916,guest editorial,c allocchio,"computer networks ,",2000.0,6.31219e-05,0
