,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,promises and realities of active database systems very large data bases 1995,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",nan,1994.0,0
1,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,2003.0,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",nan,nan,1994.0,0
2,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,anatomy of a real e-commerce system anant jhingran international conference on management of data 2000,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",nan,1994.0,0
3,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,the ores temporal database management system,won kim,nan,1994.0,0
4,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,promises and realities of active database systems very large data bases 1995,nan,the vldb journal -- the international journal on very large data bases,1994.0,0
5,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,the ores temporal database management system,"thomas seidl , hans-peter kriegel",nan,1994.0,0
6,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",bruce e. martin,nan,nan,coss : the common object services specifications bruce e. martin international conference on management of data,nan,nan,1994.0,0
7,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,promises and realities of active database systems very large data bases 1995,charu c. aggarwal,nan,1994.0,0
8,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",nan,nan,2002.0,0
9,coss : the common object services specifications sigmod conference 1994,bruce e. martin,nan,nan,promises and realities of active database systems very large data bases 1995,nan,nan,1994.0,0
