,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,adobe creative suite cs3 production premium upsell,emedia,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_manufacturer',)",['adobe'],['emedia'],0.32864222,0.6713577,2
19,adobe creative suite cs3 design standard upgrade [ mac ],adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['adobe creative suite cs3 design standard upgrade [ mac ]', 'adobe']",0.19236517,0.80763483,2
18,adobe creative suite cs3 design standard upgrade [ mac ],adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title',)",['adobe creative suite cs3 production premium upsell'],['adobe creative suite cs3 design standard upgrade [ mac ]'],0.19236517,0.80763483,2
17,adobe creative suite cs3 production premium upsell,microspot ltd,349.99,production prem cs3 mac upgrad,,808.15,"('ltable_manufacturer', 'ltable_price')","['adobe', 1199.0]","['microspot ltd', 349.99]",0.12259654,0.87740344,2
16,adobe creative suite cs3 production premium upsell,microspot ltd,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_manufacturer',)",['adobe'],['microspot ltd'],0.12259654,0.87740344,2
14,adobe creative suite cs3 production premium upsell,watchguard technologies inc,,production prem cs3 mac upgrad,,808.15,"('ltable_manufacturer', 'ltable_price')","['adobe', 1199.0]","['watchguard technologies inc', nan]",0.08497,0.91503,2
13,upg serverlock for solaris gold,adobe,,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['upg serverlock for solaris gold', nan]",0.31911874,0.6808813,2
12,upg serverlock for solaris gold,watchguard technologies inc,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['upg serverlock for solaris gold', 'watchguard technologies inc']",0.24685656,0.7531434,2
11,adobe creative suite cs3 production premium upsell,adobe,,production prem cs3 mac upgrad,,808.15,"('ltable_price',)",[1199.0],[nan],0.32132807,0.6786719,2
20,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['adobe creative suite cs3 design standard upgrade [ mac ]', 399.0]",0.19236517,0.80763483,2
10,adobe creative suite cs3 production premium upsell,watchguard technologies inc,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_manufacturer',)",['adobe'],['watchguard technologies inc'],0.13016556,0.86983436,2
8,adobe creative suite cs3 production premium upgrade,adobe,799.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['adobe creative suite cs3 production premium upgrade', 799.0]",0.07143343,0.9285666,2
7,adobe creative suite cs3 production premium upgrade,adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['adobe creative suite cs3 production premium upgrade', 'adobe']",0.07143343,0.9285666,2
6,adobe creative suite cs3 production premium upgrade,adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title',)",['adobe creative suite cs3 production premium upsell'],['adobe creative suite cs3 production premium upgrade'],0.07143343,0.9285666,2
