,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,diff,attr_name,attr_pos,id,match_score
0,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,,,,0@1496#1@1496,0.9971034
1,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2294,"transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,-{'secure'},rtable_title,6,0@1496#1@2294,0.97901493
2,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2295,secure,,,1997.0,"-{',', 'processing', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2295,1.0194476e-05
3,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2296,"processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'transaction'}",rtable_title,6,0@1496#1@2296,0.7700845
4,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2297,secure transaction,,,1997.0,"-{',', 'processing', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'real-time', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2297,3.255121e-05
5,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2298,"in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'transaction'}",rtable_title,6,0@1496#1@2298,0.11956679
6,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2299,secure transaction processing,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'real-time', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2299,0.00013336023
7,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2300,"firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'in', 'transaction'}",rtable_title,6,0@1496#1@2300,0.516873
8,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2301,secure transaction processing in,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'systems', 'firm', 'database', 'real-time', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2301,0.00020971705
9,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2302,"real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'in', 'firm', 'transaction'}",rtable_title,6,0@1496#1@2302,0.005153307
10,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2303,secure transaction processing in firm,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'systems', 'database', 'real-time', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2303,0.0011775913
11,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2304,"database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'in', 'firm', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2304,0.0004887818
12,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2305,secure transaction processing in firm real-time,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'systems', 'database', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2305,0.0019559034
13,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2306,"systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'in', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2306,6.2248335e-05
14,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2307,secure transaction processing in firm real-time database,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'systems', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2307,0.0049708416
15,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2308,"binto george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2308,9.844738e-07
16,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2309,secure transaction processing in firm real-time database systems,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'binto', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2309,0.01800198
17,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2310,"george , jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'binto', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2310,9.844738e-07
18,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2311,secure transaction processing in firm real-time database systems binto,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'george', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2311,0.01800198
19,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2312,", jayant r. haritsa sigmod conference",,,1997.0,"-{'secure', 'processing', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2312,1.1148634e-06
20,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2313,secure transaction processing in firm real-time database systems binto george,,,1997.0,"-{',', 'jayant', 'sigmod', 'conference', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2313,0.4392521
21,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2314,jayant r. haritsa sigmod conference,,,1997.0,"-{'secure', ',', 'processing', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2314,1.1148634e-06
22,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2315,"secure transaction processing in firm real-time database systems binto george ,",,,1997.0,"-{'jayant', 'sigmod', 'conference', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2315,0.4392521
23,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2316,r. haritsa sigmod conference,,,1997.0,"-{'secure', ',', 'processing', 'jayant', 'george', 'binto', 'in', 'systems', 'firm', 'database', 'transaction', 'real-time'}",rtable_title,6,0@1496#1@2316,7.1169285e-07
24,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,2317,"secure transaction processing in firm real-time database systems binto george , jayant",,,1997.0,"-{'sigmod', 'conference', 'r.', 'haritsa'}",rtable_title,6,0@1496#1@2317,0.181176
