,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,diff,attr_name,attr_pos,id,match_score
0,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,,,,0@393#1@393,0.29892436
1,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3226,visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,-{'microsoft'},rtable_title,5,0@393#1@3226,0.75088197
2,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3227,microsoft,microsoft software,5099.0,"-{'studio', '2005', 'test', 'visual', 'processor', 'license', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3227,0.003872318
3,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3228,studio test agent 2005 cd 1 processor license,microsoft software,5099.0,"-{'microsoft', 'visual'}",rtable_title,5,0@393#1@3228,0.8723358
4,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3229,microsoft visual,microsoft software,5099.0,"-{'studio', '2005', 'test', 'processor', 'license', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3229,0.0077722985
5,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3230,test agent 2005 cd 1 processor license,microsoft software,5099.0,"-{'microsoft', 'studio', 'visual'}",rtable_title,5,0@393#1@3230,0.5433716
6,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3231,microsoft visual studio,microsoft software,5099.0,"-{'2005', 'test', 'processor', 'license', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3231,0.0046407357
7,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3232,agent 2005 cd 1 processor license,microsoft software,5099.0,"-{'microsoft', 'studio', 'test', 'visual'}",rtable_title,5,0@393#1@3232,0.47104523
8,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3233,microsoft visual studio test,microsoft software,5099.0,"-{'2005', 'processor', 'license', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3233,0.07308842
9,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3234,2005 cd 1 processor license,microsoft software,5099.0,"-{'microsoft', 'studio', 'test', 'visual', 'agent'}",rtable_title,5,0@393#1@3234,0.089127295
10,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3235,microsoft visual studio test agent,microsoft software,5099.0,"-{'2005', 'processor', 'license', '1', 'cd'}",rtable_title,5,0@393#1@3235,0.06200791
11,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3236,cd 1 processor license,microsoft software,5099.0,"-{'microsoft', 'studio', '2005', 'test', 'visual', 'agent'}",rtable_title,5,0@393#1@3236,0.073162906
12,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3237,microsoft visual studio test agent 2005,microsoft software,5099.0,"-{'processor', 'license', '1', 'cd'}",rtable_title,5,0@393#1@3237,0.076039836
13,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3238,1 processor license,microsoft software,5099.0,"-{'microsoft', 'studio', '2005', 'test', 'visual', 'agent', 'cd'}",rtable_title,5,0@393#1@3238,0.09272083
14,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3239,microsoft visual studio test agent 2005 cd,microsoft software,5099.0,"-{'processor', 'license', '1'}",rtable_title,5,0@393#1@3239,0.03971537
15,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3240,processor license,microsoft software,5099.0,"-{'microsoft', 'studio', '2005', 'test', 'visual', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3240,0.027202446
16,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3241,microsoft visual studio test agent 2005 cd 1,microsoft software,5099.0,"-{'processor', 'license'}",rtable_title,5,0@393#1@3241,0.049598664
17,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3242,license,microsoft software,5099.0,"-{'microsoft', 'studio', '2005', 'test', 'visual', 'processor', '1', 'agent', 'cd'}",rtable_title,5,0@393#1@3242,0.0019141291
18,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3243,microsoft visual studio test agent 2005 cd 1 processor,microsoft software,5099.0,-{'license'},rtable_title,5,0@393#1@3243,0.17897259
19,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3244,microsoft visual studio test agent 2005 cd 1 processor license,software,5099.0,-{'microsoft'},rtable_manufacturer,6,0@393#1@3244,0.34254572
20,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,3245,microsoft visual studio test agent 2005 cd 1 processor license,microsoft,5099.0,-{'software'},rtable_manufacturer,6,0@393#1@3245,0.11395782
0,831,individual software professor teaches microsoft office 2007,,29.99,831,individual software professor teaches microsoft office 2007,,29.99,,,,0@831#1@831,0.08569824
1,1363,software professor teaches microsoft office 2007,,29.99,831,individual software professor teaches microsoft office 2007,,29.99,-{'individual'},ltable_title,1,0@1363#1@831,0.30074134
