,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,distance-based outliers : algorithms and applications,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('rtable_title',)",['finding intensional knowledge of distance-based outliers'],['distance-based outliers : algorithms and applications'],0.0028703653,0.9971296,2
1,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,distance-based outliers : algorithms and applications,"edwin m. knorr , raymond t. ng , vladimir tucakov",very large data bases,1999,"('rtable_title', 'rtable_authors')","['finding intensional knowledge of distance-based outliers', 'edwin m. knorr , raymond t. ng']","['distance-based outliers : algorithms and applications', 'edwin m. knorr , raymond t. ng , vladimir tucakov']",0.0072878012,0.99271226,2
2,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,distance-based outliers : algorithms and applications,"edwin m. knorr , raymond t. ng",the vldb journal -- the international journal on very large data bases,1999,"('rtable_title', 'rtable_venue')","['finding intensional knowledge of distance-based outliers', 'very large data bases']","['distance-based outliers : algorithms and applications', 'the vldb journal -- the international journal on very large data bases']",0.001905614,0.9980944,2
3,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,distance-based outliers : algorithms and applications,"edwin m. knorr , raymond t. ng",very large data bases,2000,"('rtable_title', 'rtable_year')","['finding intensional knowledge of distance-based outliers', 1999]","['distance-based outliers : algorithms and applications', 2000]",0.0028621992,0.9971378,2
21,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,semantic compression and pattern extraction with fascicles,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('rtable_title', 'rtable_year')","['finding intensional knowledge of distance-based outliers', 1999]","['semantic compression and pattern extraction with fascicles', 1999]",0.42008838,0.57991165,2
20,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,semantic compression and pattern extraction with fascicles,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('rtable_title', 'rtable_venue')","['finding intensional knowledge of distance-based outliers', 'very large data bases']","['semantic compression and pattern extraction with fascicles', 'very large data bases']",0.42008838,0.57991165,2
8,a vision of management of complex models,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('ltable_title',)",['distance-based outliers : algorithms and applications'],['a vision of management of complex models'],0.30418783,0.6958121,2
9,a vision of management of complex models,"v. tucakov , raymond t. ng , edwin m. knorr",sigmod record,2000,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('ltable_title', 'ltable_venue')","['distance-based outliers : algorithms and applications', 'vldb j.']","['a vision of management of complex models', 'sigmod record']",0.009043548,0.9909565,2
10,a vision of management of complex models,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999,"('ltable_title', 'ltable_year')","['distance-based outliers : algorithms and applications', 2000]","['a vision of management of complex models', 2000]",0.3041878,0.6958122,2
19,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,semantic compression and pattern extraction with fascicles,"h. v. jagadish , j. madar , raymond t. ng",very large data bases,1999,"('rtable_title', 'rtable_authors')","['finding intensional knowledge of distance-based outliers', 'edwin m. knorr , raymond t. ng']","['semantic compression and pattern extraction with fascicles', 'h. v. jagadish , j. madar , raymond t. ng']",0.4839428,0.51605713,2
