,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,9.20 %,Arrow Point Amber,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,7.40 %,Winthrop Double Dry Hopped Amber,Blue Cat Brew Pub,Specialty Grain,0
1,6.50 %,Bushfire American Red,Tommyknocker Brewery,American Amber / Red Ale,5.70 %,Winthrop Double Dry Hopped Amber,Blue Cat Brew Pub,Amber Ale,1
2,5.70 %,Honey Basil Amber,Twisted K-8 Brewing Company,American Amber / Red Ale,5.70 %,Capitol City Amber Waves Ale,Blue Cat Brew Pub,Barley Wine,0
3,4.50 %,Rocky Point Red Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,5.50 %,Upland Easy Chair Amber Ale,23rd Street Brewery,Premium Bitter/ESB,0
4,6.50 %,Thomas Hooker Old Marley Barleywine,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,Rude Hippo Honey Basil Amber,Laurelwood Public House & Brewery,Premium Bitter/ESB,0
5,6.50 %,Rocket City Red,Twisted K-8 Brewing Company,American Barleywine,5.70 %,Thomas Hooker Old Marley Barleywine,Blue Cat Brew Pub,Premium Bitter/ESB,0
6,6.50 %,Jazz Beer Tarraco Amber,Capitol City Brewing,American Barleywine,6.50 %,Thomas Hooker Old Marley Barleywine,Midnight Sun Brewing Company,Irish Ale,1
7,6.50 %,Bushfire American Red,Twisted K-8 Brewing Company,American Amber / Red Ale,5.70 %,Jazz Beer Tarraco Amber,Blue Cat Brew Pub,India Pale Ale &#40; IPA &#41;,1
8,9.00 %,Legends Of The Bay Giant 's Tomb,Bainbridge Island Brewing Company,American Amber / Red Ale,5.70 %,Hillcrest Big Red Balls,Blue Cat Brew Pub,Premium Bitter/ESB,1
9,6.50 %,Bushfire American Red,Tommyknocker Brewery,American Amber / Red Ale,5.70 %,Winthrop Double Dry Hopped Amber,Blue Cat Brew Pub,Premium Bitter/ESB,1
