,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 490 e. paces ferry rd. ',` las vegas ',84.0,` bertolini \ 's ',702/735 -4663,` coffee shops/diners ',' 3200 las vegas blvd. s. ',queens,90.0,` morton \ 's of chicago ( las vegas ) ',702-893-0703,steakhouses,1
1,' 3570 las vegas blvd. s ',` las vegas ',22.0,` bertolini \ 's ',702/735 -4663,italian,' 3200 las vegas blvd. s. ',` las vegas ',22.0,` morton \ 's of chicago ( las vegas ) ',702-893-0703,steakhouses,1
2,' 3570 las vegas blvd. s ',` las vegas ',74.0,` luna si ',212/755 -6244,american,' 243 e. 58th st. ',` las vegas ',664.0,` brookhaven cafe ',702-893-0703,steakhouses,1
3,' 3570 las vegas blvd. s ',` las vegas ',84.0,` bertolini \ 's ',702/735 -4663,italian,' 3200 las vegas blvd. s. ',atlanta,90.0,` chinois on main ',404-233-5993,` french ( new ) ',1
4,' 3570 las vegas blvd. s ',` las vegas ',22.0,` bertolini \ 's ',702/735 -4663,` health food ',' 3200 las vegas blvd. s. ',` las vegas ',22.0,` yujean kang \ 's ',702-893-0703,asian,1
5,' 3570 las vegas blvd. s ',` las vegas ',70.0,` bertolini \ 's ',702/735 -4663,` coffee shops/diners ',' 3200 las vegas blvd. s. ',` west la ',70.0,` michael \ 's ( las vegas ) ',702-893-0703,` french ( new ) ',1
6,' 6182 w. flamingo rd. ',` las vegas ',50.0,` beesley \ 's of buckhead ',404/233 -7673,international,' 3200 las vegas blvd. s. ',` las vegas ',7.0,` chin \ 's ',212-765-1737,steakhouses,1
7,' 3570 las vegas blvd. s ',` las vegas ',22.0,` bertolini \ 's ',702/735 -4663,` health food ',' 3200 las vegas blvd. s. ',` las vegas ',22.0,` morton \ 's of chicago ( las vegas ) ',702-893-0703,steakhouses,1
8,' 3570 las vegas blvd. s ',` las vegas ',22.0,` bertolini \ 's ',702/735 -4663,` health food ',' 3200 las vegas blvd. s. ',` las vegas ',22.0,` morton \ 's of chicago ( las vegas ) ',702-893-0703,asian,1
9,' 3570 las vegas blvd. s ',` las vegas ',74.0,` schatzi on main ',404/876 -0676,italian,' 3200 las vegas blvd. s. ',` las vegas ',534.0,` morton \ 's of chicago ( las vegas ) ',702-893-0703,steakhouses,1
