,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Rise 3:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('ltable_Song_Name',)",['Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03'],['Rise 3:03'],0.33415746688842773,0.6658425331115723,2
1,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,"Sunshower ! Dance & Electronic , Dubstep $ 1.29 July 29 , 2014",,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Song_Name',)",['Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent'],"['Sunshower ! Dance & Electronic , Dubstep $ 1.29 July 29 , 2014']",0.4938923716545105,0.5061076283454895,2
2,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,,Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Album_Name',)",['Flight School [ Explicit ]'],[nan],0.4583131670951843,0.5416868329048157,2
3,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,,Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Album_Name',)",['Flight School [ Explicit ]'],[nan],0.43957626819610596,0.560423731803894,2
4,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,Flight School [ Explicit ],,$ 0.99,,4:03,"April 17 , 2009","('rtable_Genre',)",['Rap & Hip-Hop'],[nan],0.48975813388824463,0.5102418661117554,2
5,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,,Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Album_Name',)",['Flight School [ Explicit ]'],[nan],0.43670493364334106,0.5632950663566589,2
6,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,Flight School [ Explicit ],,$ 0.99,,4:03,"April 17 , 2009","('rtable_Genre',)",['Rap & Hip-Hop'],[nan],0.48692554235458374,0.5130744576454163,2
7,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,"El Jardinero Los Sabios del Norte International , Latin Music $ 0.99 4:02",,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Song_Name',)",['Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent'],"['El Jardinero Los Sabios del Norte International , Latin Music $ 0.99 4:02']",0.39714908599853516,0.6028509140014648,2
8,Rise,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('ltable_Song_Name',)",['Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03'],['Rise'],0.28240346908569336,0.7175965309143066,2
9,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,"Corazon Malo Los Sabios del Norte La Gorriona '' '' International , Latin Music 2013 Perico Records February 9 , 2011",,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Song_Name',)",['Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent'],"[""Corazon Malo Los Sabios del Norte La Gorriona '' '' International , Latin Music 2013 Perico Records February 9 , 2011""]",0.4474940299987793,0.5525059700012207,2
10,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,,Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Album_Name',)",['Flight School [ Explicit ]'],[nan],0.44074738025665283,0.5592526197433472,2
11,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,Flight School [ Explicit ],,$ 0.99,,4:03,"April 17 , 2009","('rtable_Genre',)",['Rap & Hip-Hop'],[nan],0.4908859133720398,0.5091140866279602,2
12,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,"Toca El Saxo Los Sabios del Norte La Gorriona '' '' 2013 Perico Records 3:30 February 9 , 2011",,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Song_Name',)",['Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent'],"[""Toca El Saxo Los Sabios del Norte La Gorriona '' '' 2013 Perico Records 3:30 February 9 , 2011""]",0.41504722833633423,0.5849527716636658,2
13,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,,,Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Album_Name',)",['Flight School [ Explicit ]'],[nan],0.4390208125114441,0.5609791874885559,2
14,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,,,"Hip-Hop/Rap , Music",,,,17-Apr-09,El Farolito $ 0.99 2013 Perico Records 3:20,,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,,4:03,"April 17 , 2009","('rtable_Song_Name',)",['Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent'],['El Farolito $ 0.99 2013 Perico Records 3:20'],0.27815890312194824,0.7218410968780518,2
