,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,nan,nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,4:12,Anything Goes,nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,1
1,nan,nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Flight School [ Explicit ],nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",45 Shinedown Leave A Whisper 2015 Mad Decent 4:09,4:03,1
2,nan,nan,nan,"Dance , Music , Rock , House , Electronic",nan,17-Apr-09,Cameras 28-Mar-11,nan,Flight School [ Explicit ],nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,1
3,nan,nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Flight School [ Explicit ],nan,nan,Pop,$ 0.99,"April 17 , 2009",45 Shinedown Leave A Whisper 2015 Mad Decent 4:09,4:03,1
4,nan,nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Taylor Swift,nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,1
5,nan,Zedd,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Flight School [ Explicit ],nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009","Kama Sutra ( feat . Kid Ink ) Pop 3:36 September 10 , 2013",4:03,1
6,Fetty Wap ( Deluxe ),nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Cameras 28-Mar-11,nan,Flight School [ Explicit ],nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,1
7,nan,nan,nan,"Hip-Hop/Rap , Music",nan,nan,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,nan,nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,1
8,nan,nan,nan,"Dance,Music,Hip-Hop / Rap , Alternative Rap,Hip-Hop , R&B / Soul , Soul , Electronic",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Settle,nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,0
9,nan,nan,nan,"Hip-Hop/Rap , Music",nan,17-Apr-09,Extra Extra Credit Wiz Khalifa Flight School $ 0.99 2009 Rostrum Records 4:03,nan,Anything Goes,nan,nan,Rap & Hip-Hop,$ 0.99,"April 17 , 2009",Extra Extra Credit [ Explicit ] Wiz Khalifa 2013 Mad Decent,4:03,0
