,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
52,` lincoln tavern ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""` health food '""]","[""` lincoln tavern '"", 'american']",0.44225806,0.557742,2
4,` nate \ ` n \ ' al \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""` health food '""]","[""` nate \\ ` n \\ ' al \\ 's '"", 'american']",0.24268605,0.75731397,2
28,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` latin american ',371,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_res_type', 'ltable_class')","[""` health food '"", 140]","[""` latin american '"", 371]",0.20561065,0.79438937,2
44,` gilliland \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""` health food '""]","[""` gilliland \\ 's '"", 'american']",0.43345788,0.56654215,2
53,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,294,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_res_type', 'ltable_class')","[""` health food '"", 140]","['american', 294]",0.4680916,0.5319084,2
31,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',212/586 -7714,` latin american ',371,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_phone', 'ltable_res_type', 'ltable_class')","['310/837 -6662', ""` health food '"", 140]","['212/586 -7714', ""` latin american '"", 371]",0.20561065,0.79438937,3
30,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` new york ',310/837 -6662,` latin american ',371,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_city', 'ltable_res_type', 'ltable_class')","[""` los angeles '"", ""` health food '"", 140]","[""` new york '"", ""` latin american '"", 371]",0.28159824,0.7184018,3
29,` victor \ 's cafe ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` latin american ',371,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` victor \\ 's cafe '"", ""` latin american '"", 371]",0.027807781,0.97219217,3
40,` la reserve ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,french,281,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` la reserve '"", 'french', 281]",0.05692244,0.94307756,3
45,` gilliland \ 's ',' 10668 w. pico blvd. ',` santa monica ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_city', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""` los angeles '"", ""` health food '""]","[""` gilliland \\ 's '"", ""` santa monica '"", 'american']",0.31945997,0.68053997,3
46,` gilliland \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/392 -3901,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_phone', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", '310/837 -6662', ""` health food '""]","[""` gilliland \\ 's '"", '310/392 -3901', 'american']",0.43345788,0.56654215,3
47,` gilliland \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,135,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` gilliland \\ 's '"", 'american', 135]",0.230992,0.769008,3
20,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` los angeles ',310/837 -6662,french,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_addr', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""' 10668 w. pico blvd. '"", ""` health food '""]","[""` l \\ ` orangerie '"", ""' 903 n. la cienega blvd. '"", 'french']",0.13759172,0.8624083,3
54,` lincoln tavern ',' 10668 w. pico blvd. ',` los angeles ',212/721 -8271,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_phone', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", '310/837 -6662', ""` health food '""]","[""` lincoln tavern '"", '212/721 -8271', 'american']",0.44225806,0.557742,3
0,` west beach cafe ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,171,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` west beach cafe '"", 'american', 171]",0.10896347,0.8910365,3
56,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` new york ',310/837 -6662,american,294,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_city', 'ltable_res_type', 'ltable_class')","[""` los angeles '"", ""` health food '"", 140]","[""` new york '"", 'american', 294]",0.48912412,0.51087594,3
5,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_addr', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""' 10668 w. pico blvd. '"", ""` health food '""]","[""` nate \\ ` n \\ ' al \\ 's '"", ""' 414 n. beverly dr. '"", 'american']",0.3276494,0.6723506,3
6,` nate \ ` n \ ' al \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_city', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""` los angeles '"", ""` health food '""]","[""` nate \\ ` n \\ ' al \\ 's '"", ""` los angeles '"", 'american']",0.24268605,0.75731397,3
55,` lincoln tavern ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,294,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` lincoln tavern '"", 'american', 294]",0.062133238,0.9378668,3
8,` nate \ ` n \ ' al \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,american,149,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""` health food '"", 140]","[""` nate \\ ` n \\ ' al \\ 's '"", 'american', 149]",0.03901075,0.9609893,3
7,` nate \ ` n \ ' al \ 's ',' 10668 w. pico blvd. ',` los angeles ',310/274 -0101,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_phone', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", '310/837 -6662', ""` health food '""]","[""` nate \\ ` n \\ ' al \\ 's '"", '310/274 -0101', 'american']",0.24268605,0.75731397,3
57,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',212/721 -8271,american,294,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_phone', 'ltable_res_type', 'ltable_class')","['310/837 -6662', ""` health food '"", 140]","['212/721 -8271', 'american', 294]",0.46809193,0.5319081,3
58,` lincoln tavern ','51 w. 64th st. ',` new york ',310/837 -6662,american,140,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_addr', 'ltable_city', 'ltable_res_type')","[""` jack sprat \\ 's grill '"", ""' 10668 w. pico blvd. '"", ""` los angeles '"", ""` health food '""]","[""` lincoln tavern '"", ""'51 w. 64th st. '"", ""` new york '"", 'american']",0.48166654,0.5183335,4
59,` lincoln tavern ','51 w. 64th st. ',` los angeles ',310/837 -6662,american,294,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,"('ltable_name', 'ltable_addr', 'ltable_res_type', 'ltable_class')","[""` jack sprat \\ 's grill '"", ""' 10668 w. pico blvd. '"", ""` health food '"", 140]","[""` lincoln tavern '"", ""'51 w. 64th st. '"", 'american', 294]",0.2944376,0.7055624,4
