,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,uniden,electronics - general,nan,23.98,san francisco 49ers camera case,uniden,cordless telephones,nan,16.87,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,1
1,uniden,electronics - general,nan,23.98,uniden 1360bk desktop corded phone with caller id black,uniden,cordless telephones,nan,16.87,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,1
2,uniden,electronics - general,27557,4.87,uniden 1360bk desktop corded phone with caller id black,uniden,corded telephones,nan,16.87,uniden slimline corded phone with cid cw - un-1260bk,0
3,uniden,electronics - general,nan,23.98,uniden 1360bk desktop corded phone with caller id black,uniden,coaxial speakers,nan,16.87,uniden slimline corded phone with cid cw - un-1260bk,1
4,uniden,electronics - general,nan,23.98,uniden 1360bk desktop corded phone with caller id black,uniden,corded telephones,nan,16.87,uniden slimline corded phone with cid cw - un-1260bk,1
5,uniden,electronics - general,1360bk,4.87,uniden 1360bk desktop corded phone with caller id black,uniden,corded telephones,nan,16.87,uniden slimline corded phone with cid cw - un-1260bk,1
6,uniden,electronics - general,nan,23.98,accell ultraav displayport multi-monitor adapter,uniden,coaxial speakers,nan,16.87,uniden slimline corded phone with cid cw - un-1260bk,1
7,uniden,electronics - general,nan,23.98,uniden 1360bk desktop corded phone with caller id black,uniden,corded telephones,nan,16.87,griffin technology formfit for ipod touch 4g pink clear,1
8,uniden,electronics - general,nan,23.98,antec tricool 92mm double ball bearing case fan,uniden,corded telephones,nan,104.95,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,1
9,iogear,electronics - general,nan,23.98,uniden 1360bk desktop corded phone with caller id black,uniden,corded telephones,nan,7.53,uniden slimline corded phone with cid cw - un-1260bk,1
