,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,11.50 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,6.20 %,Hillcrest Big Red Balls,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
1,5.60 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.70 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,0
2,5.00 %,Rocket City Red,Fat Bottom Brewing,American Barleywine,5.20 %,Bainbridge Island Arrow Point Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
3,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,6.50 %,Rude Hippo Honey Basil Amber,Sawdust City Brewing Company,Fruit Beer,0
4,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Bainbridge Island Arrow Point Amber,Sawdust City Brewing Company,Fruit Beer,1
5,4.50 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,4.50 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Barley Wine,1
6,5.20 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Amber Ale,0
7,5.70 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.70 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
8,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Hillcrest Big Red Balls,Granite Falls Brewing Company,Imperial IPA,0
9,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Hillcrest Big Red Balls,Granite Falls Brewing Company,Spice/Herb/Vegetable,0
