,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('ltable_title',)",['integrating triggers and declarative constraints in sql database sytems'],['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],0.04650193452835083,0.9534980654716492,2
142,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
143,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,roberta,the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'roberta']",0.054800987243652344,0.9451990127563477,2
144,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
145,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
150,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
151,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,", hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', ', hamid pirahesh , nelson mendonça mattos']",0.04685491323471069,0.9531450867652893,2
152,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
153,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
154,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,", hamid pirahesh , nelson mendonça mattos",vldb,1994,"('rtable_authors', 'rtable_venue')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 'the vldb journal -- the international journal on very large data bases']","[', hamid pirahesh , nelson mendonça mattos', 'vldb']",0.4059606194496155,0.5940393805503845,2
155,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,", hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","[', hamid pirahesh , nelson mendonça mattos', 1996]",0.4752674698829651,0.5247325301170349,2
161,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
162,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,roberta cochrane,the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'roberta cochrane']",0.051911890506744385,0.9480881094932556,2
163,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
164,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
169,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
170,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'hamid pirahesh , nelson mendonça mattos']",0.04750525951385498,0.952494740486145,2
171,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
172,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
173,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"hamid pirahesh , nelson mendonça mattos",vldb,1994,"('rtable_authors', 'rtable_venue')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 'the vldb journal -- the international journal on very large data bases']","['hamid pirahesh , nelson mendonça mattos', 'vldb']",0.4271612763404846,0.5728387236595154,2
136,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","['cochrane , hamid pirahesh , nelson mendonça mattos', 1996]",0.3765110969543457,0.6234889030456543,2
174,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","['hamid pirahesh , nelson mendonça mattos', 1996]",0.49954360723495483,0.5004563927650452,2
134,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
132,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'cochrane , hamid pirahesh , nelson mendonça mattos']",0.045854806900024414,0.9541451930999756,2
99,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in', 'roberta cochrane , hamid pirahesh , nelson mendonça mattos']",0.060143887996673584,0.9398561120033264,2
100,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1994,"('rtable_authors', 'rtable_venue')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 'the vldb journal -- the international journal on very large data bases']","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 'vldb']",0.2617933750152588,0.7382066249847412,2
101,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 1996]",0.29963308572769165,0.7003669142723083,2
106,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql'],0.13239014148712158,0.8676098585128784,2
107,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_authors',)","['daniel barbar &#225; - mill &#225; , hector garcia-molina']","['roberta cochrane , hamid pirahesh , nelson mendonça mattos']",0.3575930595397949,0.6424069404602051,2
108,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql', 'roberta cochrane , hamid pirahesh , nelson mendonça mattos']",0.04947054386138916,0.9505294561386108,2
109,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql', 'vldb']",0.09236782789230347,0.9076321721076965,2
110,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql', 1996]",0.09840279817581177,0.9015972018241882,2
111,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1994,"('rtable_authors', 'rtable_venue')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 'the vldb journal -- the international journal on very large data bases']","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 'vldb']",0.2617933750152588,0.7382066249847412,2
112,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 1996]",0.29963308572769165,0.7003669142723083,2
118,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database'],0.07865476608276367,0.9213452339172363,2
119,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_authors',)","['daniel barbar &#225; - mill &#225; , hector garcia-molina']","['roberta cochrane , hamid pirahesh , nelson mendonça mattos']",0.3575931191444397,0.6424068808555603,2
120,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database', 'roberta cochrane , hamid pirahesh , nelson mendonça mattos']",0.04706835746765137,0.9529316425323486,2
121,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database', 'vldb']",0.05969727039337158,0.9403027296066284,2
122,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database', 1996]",0.060107648372650146,0.9398923516273499,2
123,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1994,"('rtable_authors', 'rtable_venue')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 'the vldb journal -- the international journal on very large data bases']","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 'vldb']",0.2617933750152588,0.7382066249847412,2
124,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1996,"('rtable_authors', 'rtable_year')","['daniel barbar &#225; - mill &#225; , hector garcia-molina', 1994]","['roberta cochrane , hamid pirahesh , nelson mendonça mattos', 1996]",0.29963308572769165,0.7003669142723083,2
130,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
131,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"cochrane , hamid pirahesh , nelson mendonça mattos",the vldb journal -- the international journal on very large data bases,1994,"('rtable_authors',)","['daniel barbar &#225; - mill &#225; , hector garcia-molina']","['cochrane , hamid pirahesh , nelson mendonça mattos']",0.43819326162338257,0.5618067383766174,2
133,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
180,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
181,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane ,",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'roberta cochrane ,']",0.045692622661590576,0.9543073773384094,2
182,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
232,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
237,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
238,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,mendonça mattos,the vldb journal -- the international journal on very large data bases,1994,"('rtable_title', 'rtable_authors')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'daniel barbar &#225; - mill &#225; , hector garcia-molina']","['integrating triggers and declarative constraints in sql database sytems', 'mendonça mattos']",0.051134586334228516,0.9488654136657715,2
239,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",vldb,1994,"('rtable_title', 'rtable_venue')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 'the vldb journal -- the international journal on very large data bases']","['integrating triggers and declarative constraints in sql database sytems', 'vldb']",0.04495471715927124,0.9550452828407288,2
240,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1996,"('rtable_title', 'rtable_year')","['the demarcation protocol : a technique for maintaining constraints in distributed database systems', 1994]","['integrating triggers and declarative constraints in sql database sytems', 1996]",0.0436098575592041,0.9563901424407959,2
245,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996,integrating triggers and declarative constraints in sql database sytems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994,"('rtable_title',)",['the demarcation protocol : a technique for maintaining constraints in distributed database systems'],['integrating triggers and declarative constraints in sql database sytems'],0.05433720350265503,0.945662796497345,2
