,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,steinberg,89.99,final draft av 2.5 win/mac,nan,89.99,adobe photoshop elements 4.0 photo-editing software for mac,1
1,global-software-publishing,159.98,adobe photoshop elements 4.0 ( mac ),global-software-publishing,85.95,adobe photoshop elements 4.0 photo-editing software for mac,1
2,hewlett-packard - ( consumables ),199.0,adobe photoshop elements 4.0 ( mac ),sibelius-software-ltd .,17.55,adobe photoshop elements 4.0 photo-editing software for mac,0
3,apple,29.95,microsoft onenote 2007 upgrade,apple software,17.9,adobe photoshop elements 4.0 photo-editing software for mac,1
4,global-software-publishing,2499.0,adobe photoshop elements 4.0 ( mac ),sibelius-software-ltd .,400.34,adobe photoshop elements 4.0 photo-editing software for mac,0
5,global-software-publishing,549.0,quicken legal business pro 2007,global-software-publishing,85.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,1
6,global-software-publishing,39.95,halo ( mac ),global-software-publishing,249.95,adobe photoshop elements 4.0 photo-editing software for mac,1
7,sony-pictures-digital-entertainment,49.99,quickbooks point-of-sale basic 6.0,global-software-publishing,85.95,adobe photoshop elements 4.0 photo-editing software for mac,1
8,global-software-publishing,549.0,quicken legal business pro 2007,global-software-publishing,85.95,adobe photoshop elements 4.0 photo-editing software for mac,1
9,apple,29.95,microsoft onenote 2007 upgrade,apple software,85.95,adobe photoshop elements 4.0 photo-editing software for mac,1
