,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Hop Around Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,Altbier,8 %,0
1,Three Beavers Imperial Red Ale,Bier Kaffee Aqula,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,0
2,Hop Around Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,6.40 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,1
3,Hop Around Imperial Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,8.50 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,1
4,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Barleywine,9.00 %,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Kern River Brewing,American Strong Ale,8 %,0
5,Hop Around Imperial Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,5.70 %,0
6,Hop Around Imperial Red Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,18th Street Brewery,American Strong Ale,8 %,0
7,Hop Around Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,0
8,Hop Around Imperial Red Ale,Elevator Brewery & Draught Haus,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,0
9,Hop Around Imperial Red Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,5.50 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,0
