,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,9.00 %,Jazz Beer Tarraco Amber,Sky High Brewing,American Amber / Red Ale,9 %,Hillcrest Big Red Balls,Marble Brewery,Barley Wine,0
1,9.00 %,Arrow Point Amber,Big Bay Brewing Co. .,American Barleywine,5.20 %,Rude Hippo Honey Basil Amber,Marble Brewery,American Strong Ale,0
2,11.00 %,Bushfire American Red,Great Storm Brewing Co. .,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Marble Brewery,Amber Ale,1
3,9.00 %,Jazz Beer Tarraco Amber,Sky High Brewing,American Barleywine,9 %,Hillcrest Big Red Balls,Marble Brewery,Barley Wine,0
4,9.00 %,Bushfire American Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,7.10 %,Jazz Beer Tarraco Amber,Marble Brewery,California Common,0
5,9.00 %,Bushfire American Red,Big Bay Brewing Co. .,American Amber / Red Ale,7.10 %,Jazz Beer Tarraco Amber,Marble Brewery,California Common,0
6,9.00 %,Arrow Point Amber,Big Bay Brewing Co. .,American Barleywine,5.20 %,Rude Hippo Honey Basil Amber,Iron Horse Brewery,Spice/Herb/Vegetable,0
7,11.00 %,Bushfire American Red,Great Storm Brewing Co. .,American Barleywine,9 %,Winthrop Double Dry Hopped Amber,Marble Brewery,Amber Ale,0
8,9.00 %,Legends Of The Bay Giant 's Tomb,Bier Kaffee Aqula,American Amber / Red Ale,8.79 %,Rude Hippo Honey Basil Amber,Marble Brewery,California Common,0
9,6.00 %,Legends Of The Bay Giant 's Tomb,Third Base Sports Bar & Brewery,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Marble Brewery,American Strong Ale,0
