,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,lexmark,nan,nan,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,tricool 120mm,nan,canon 2455b002 imageformula dr-2510c compact color scanner 617.99,0
1,lexmark,nan,nan,29.99,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,it4ll-gmt,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
2,lexmark,nan,nan,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,paper mate,cables interconnects,23056,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
3,accell,nan,nan,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,t048220,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
4,lexmark,nan,nan,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,ktd-ws667 / 8g,nan,icon-icon4-blk neoprene notebook sleeve black motion systems 9.99,0
5,lexmark,nan,nan,248.27,atrend-bbox a361-12cp b box series speaker car stereos a361-12cp,oki,cables interconnects,icon4-blk,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
6,lexmark,nan,d1680,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,accessories,nan,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
7,lexmark,usb drives,pvr135h1,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,nan,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
8,lexmark,nan,nan,248.27,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,a362-12cp,nan,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,0
9,lexmark,nan,pvr135h1,2595.0,lexmark e450h11a toner 11000 page-yield black printers e450h11a,oki,cables interconnects,nan,nan,oki 52117101 - 52117101 toner 33000 page-yield black,0
