,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
1,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version windows,,199.99,"('rtable_title',)",['microsoft ( r ) windows ( r ) xp professional edition with sp2'],['microsoft office frontpage 2003 academic version windows'],0.03480133,0.96519864,2
2,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version windows,microsoft,199.99,"('rtable_title', 'rtable_manufacturer')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', nan]","['microsoft office frontpage 2003 academic version windows', 'microsoft']",0.050219774,0.9497802,2
3,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version windows,,159.98,"('rtable_title', 'rtable_price')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', 199.99]","['microsoft office frontpage 2003 academic version windows', 159.98]",0.03637924,0.9636208,2
5,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version,,199.99,"('rtable_title',)",['microsoft ( r ) windows ( r ) xp professional edition with sp2'],['microsoft office frontpage 2003 academic version'],0.072322465,0.9276776,2
6,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version,microsoft,199.99,"('rtable_title', 'rtable_manufacturer')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', nan]","['microsoft office frontpage 2003 academic version', 'microsoft']",0.11840217,0.8815978,2
7,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version,,159.98,"('rtable_title', 'rtable_price')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', 199.99]","['microsoft office frontpage 2003 academic version', 159.98]",0.06693701,0.93306303,2
9,microsoft ( r ) windows (,,159.98,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,"('ltable_title', 'ltable_manufacturer')","['microsoft office frontpage 2003 academic version windows )', 'microsoft']","['microsoft ( r ) windows (', nan]",0.31161812,0.6883819,2
0,) windows ( r ) xp professional edition with sp2,,199.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office frontpage 2003 academic version windows )', 'microsoft', 159.98]","[') windows ( r ) xp professional edition with sp2', nan, 199.99]",0.16858794,0.831412,3
4,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version windows,microsoft,159.98,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', nan, 199.99]","['microsoft office frontpage 2003 academic version windows', 'microsoft', 159.98]",0.05920145,0.9407986,3
8,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office frontpage 2003 academic version,microsoft,159.98,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft ( r ) windows ( r ) xp professional edition with sp2', nan, 199.99]","['microsoft office frontpage 2003 academic version', 'microsoft', 159.98]",0.06394745,0.93605256,3
10,microsoft ( r ) windows (,,199.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft office frontpage 2003 academic version windows )', 'microsoft', 159.98]","['microsoft ( r ) windows (', nan, 199.99]",0.19959117,0.80040884,3
