,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,9.90 %,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,11.25 %,Blue Cat Red Toad Amber Ale,Bristol Brewing Company,Barley Wine,0
1,9.90 %,Pike Old Bawdy Barley Wine,Alexander Keith 's,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
2,9.90 %,Bulleit Bourbon Barrel Aged G'Knight,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
3,9.90 %,Pike Old Bawdy Barley Wine,Third Base Sports Bar & Brewery,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
4,9.90 %,Sanibel Red Island Ale,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
5,9.90 %,Pike Old Bawdy Barley Wine,Great Northern Brewing Co. / Black Star Draught House,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
6,9.90 %,Ruby Red American Ale,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
7,9.90 %,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,11.25 %,Black Shirt American India Red Ale,Bristol Brewing Company,Barley Wine,0
8,9.90 %,Green Flash Hop Head Red Ale,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
9,9.90 %,Twisted Stick Amber Ale,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
