,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
0,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,5130,mining association rules between sets of items in large databases . 1993 proc . acm sigmod international conference on management of,"r agrawal , t imielinski , a swami",,,0.076254845
1,211,"using unknowns to prevent discovery of association rules y saygin , v verykios , c clifton 2001",,sigmod record,,2457,"on the discovery of interesting patterns in association rules vldb ,","s ramaswamy , s mahajan , a silberschatz",,1998.0,0.09461724
2,2295,guest editorial,,,2003.0,8559,guest editor 's introduction portal.acm.org,,,,0.4010083
3,659,"olap , relational , and multidimensional database systems g colliat sigmod record 1996",,,,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,0.07664898
4,2185,grid data management systems & services,,,2003.0,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0,0.18179515
5,603,"dyda : data warehouse maintenance in fully concurrent environments j chen , x zhang , s chen , a koeller , e rundensteiner",,sigmod conference,2001.0,1832,"efficient data view maintenance warehouses d agrawal , a el abbadi , a singh , t yurek",,"proc . acm sigmod ,",,0.103724286
6,1883,multiple-view self-maintenance in data warehousing environments n huyn 1997,,vldb,,15003,"j , hammer , j. widom . view maintenance in a warehousing environment y zhuge , h garcia-molina",,proc . of the acm sigmod intl. conf . on management of,,0.09089711
7,2588,guest editor 's introduction,,,2002.0,7916,guest editorial c allocchio,,"computer networks ,",2000.0,0.32815892
8,806,metadata for multimedia documents sigmod record 1994,"k bіhm , t rakow",,,6887,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,0.3721492
9,2538,an introduction to spatial database systems vldb j. 1994,r gќting,,,15659,"introduction to a system for distributed databases ( sdd-1 ) acm transactions on database systems ( tods ) ,","jb rothnie jr , pa bernstein , s fox , n goodman , m",,1980.0,0.084054165
10,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,6261,"beyond market : generalizing association rules to correlations s brin , r motwani , c silverstein",,"processing of the acm sigmod conference ,",,0.076667726
11,1391,local dimensionality reduction : a new approach to indexing high dimensional spaces vldb,"k chakrabarti , s mehrotra",,2000.0,10963,"locally adaptive dimensionality reduction for indexing large time series databases sigmod conference , 2001.0","e keogh , k chakrabarti , s mehrotra , m pazzani",,,0.09712071
12,2113,"processing sliding window multi-joins in continuous queries over data streams l golab , m жzsu",,vldb,2003.0,4298,continuous queries over data streams,"s balu , j widom",,,0.16710964
13,667,advances in real-time database systems research sigmod record,a bestavros,,1996.0,8795,special issue on real-time database systems a bestavros,,"sigmod record ,",,0.35037658
14,1487,"metu interoperable database system a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek sigmod conference 1996",,,,16499,modern database systems w kimâ ? ¦,,,1995.0,0.15667851
15,479,reminiscences on influential papers 1999,,,,14191,"reminiscences on influential papers acm transactions on database systems ,",e bertino,,1976.0,0.15758395
