,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,lg 14 ' washer and dryer red pedestal with drawer wdp3r,sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1 easily conceal hardware easy to install includes two vesa-compatible tv brackets virtual axis 3d black finish,nan,canon pixma mx700 multifunction photo printer 2186b002,nan,nan,0
1,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",35.0,canon pixma mx700 multifunction photo printer 2186b002,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",nan,0
2,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",nan,canon pixma mx700 multifunction photo printer 2186b002,lithium ion ( li-ion ) 8.4 v dc photo battery,nan,0
3,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",89.0,canon pixma mx700 multifunction photo printer 2186b002,nan,nan,0
4,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",139.0,canon pixma mx700 multifunction photo printer 2186b002,"1 x phone line ( s ) black , metallic",nan,0
5,lg 14 ' washer and dryer red pedestal with drawer wdp3r,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,nan,canon pixma mx700 multifunction photo printer 2186b002,nan,nan,0
6,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",nan,sanus visionmount flat panel tv wall mount vmpl3b,"1 x phone line ( s ) black , metallic",nan,0
7,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",nan,canon pixma mx700 multifunction photo printer 2186b002,lithium ion ( li-ion ) photo battery,nan,0
8,lg 14 ' washer and dryer red pedestal with drawer wdp3r,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",39.0,canon pixma mx700 multifunction photo printer 2186b002,lithium ion ( li-ion ) photo battery,nan,0
9,sony blu-ray disc player bdps550,sony digital photo printer paper 120 pack svmf120p 4 ' x 6 ' print paper with snap-off edges super coat 2 protective lamination water damage and fingerprint resistant prints 120 sheets of paper and print ribbon for dppf series digital photo printers only,nan,canon pixma mx700 multifunction photo printer 2186b002,nan,nan,0
