,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,nan,599.0,0
1,microsoft office 2004 professional ( mac ),microsoft software,549.0,microsoft windows vista home basic upgrade ( pc ),nan,23.44,1
2,instant immersion 33 languages,microsoft software,79.95,microsoft windows vista home basic upgrade ( pc ),nan,99.99,1
3,microsoft visual studio professional 2005 upgrade,adobe,549.0,microsoft money 2007 home and business ( pc ),nan,99.99,1
4,microsoft visual studio professional 2005 upgrade,microsoft software,630.36,phantom efx reel deal casino shuffle master edition,nan,99.99,1
5,microsoft visual studio professional 2005 upgrade,punch ! software,549.0,microsoft windows vista home basic upgrade ( pc ),apple software,99.99,1
6,microsoft works suite 2006,macsoft,549.0,microsoft windows vista home basic upgrade ( pc ),nan,99.99,1
7,microsoft powerpoint 2004 ( mac ),microsoft software,549.0,microsoft windows vista home basic upgrade ( pc ),nan,9.59,1
8,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,apple software m9372z/a final cut express 2.0 upgrade,nan,99.99,1
9,microsoft office & windows training,microsoft software,549.0,microsoft windows vista home basic upgrade ( pc ),nan,99.99,1
