,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,antec,networking,tricool 92mm dbb,29.99,antec tricool 92mm double ball bearing case fan,antec,nan,tricool 120mm,11.19,antec tricool case fan tricool 120mm,1
1,antec,electronics - general,tricool 92mm dbb,84.98,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,antec,nan,tricool 120mm,11.19,antec tricool case fan tricool 120mm,1
2,antec,electronics - general,tricool 92mm dbb,8.25,antec tricool 92mm double ball bearing case fan,antec,nan,tricool 120mm,nan,antec tricool case fan tricool 120mm,1
3,antec,electronics - general,tricool 92mm dbb,8.25,ifrogz ipod touch 4 luxe lean case white,antec,nan,tricool 120mm,11.19,antec tricool case fan tricool 120mm,1
4,antec,electronics - general,tricool 92mm dbb,8.25,ifrogz ipod touch 4 luxe lean case white,antec,nan,tricool 120mm,11.19,griffin technology formfit for ipod touch 4g pink clear,1
5,antec,electronics - general,tricool 92mm dbb,8.25,antec tricool 92mm double ball bearing case fan,antec,nan,tricool 120mm,11.99,pny 4gb class 4 navy sd card,1
6,antec,tv accessories,tricool 92mm dbb,8.25,ifrogz ipod touch 4 luxe lean case white,antec,nan,tricool 120mm,11.19,antec tricool case fan tricool 120mm,1
7,antec,tv accessories,tricool 92mm dbb,8.25,antec tricool 92mm double ball bearing case fan,antec,nan,tricool 120mm,16.87,antec tricool case fan tricool 120mm,0
8,antec,electronics - general,tricool 92mm dbb,343.99,antec tricool 92mm double ball bearing case fan,antec,nan,tricool 120mm,11.19,antec tricool case fan tricool 120mm,1
9,antec,electronics - general,tricool 92mm dbb,8.25,sony 16gb class 4 sd memory card,antec,nan,tricool 120mm,11.19,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,1
