,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,safco public square brown steel recycling container 42 gal,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,"('ltable_title',)",['hp q3675a image transfer kit'],['safco public square brown steel recycling container 42 gal'],0.99999964,3.5222362e-07,2
231,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,zpt-rm,,"('rtable_modelno', 'rtable_price')","['q3675a', nan]","['zpt-rm', nan]",0.8882728,0.11172717,2
230,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,aiptek,q3675a,,"('rtable_brand', 'rtable_price')","['hp', nan]","['aiptek', nan]",0.8706565,0.12934348,2
229,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,aiptek,zpt-rm,,"('rtable_brand', 'rtable_modelno')","['hp', 'q3675a']","['aiptek', 'zpt-rm']",0.8706565,0.12934348,2
228,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,batteries,hp,q3675a,,"('rtable_category', 'rtable_price')","['cleaning repair', nan]","['batteries', nan]",0.6722477,0.3277523,2
227,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,batteries,hp,zpt-rm,,"('rtable_category', 'rtable_modelno')","['cleaning repair', 'q3675a']","['batteries', 'zpt-rm']",0.6722477,0.3277523,2
226,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,batteries,aiptek,q3675a,,"('rtable_category', 'rtable_brand')","['cleaning repair', 'hp']","['batteries', 'aiptek']",0.7745388,0.22546114,2
225,hp q3675a image transfer kit,printers,hp,q3675a,194.84,aiptek wireless remote control for mpvr,cleaning repair,hp,q3675a,,"('rtable_title', 'rtable_price')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', nan]","['aiptek wireless remote control for mpvr', nan]",0.99993944,6.0570197e-05,2
107,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,wc1100blu,13.48,"('rtable_modelno', 'rtable_price')","['q3675a', nan]","['wc1100blu', 13.48]",0.7990929,0.20090707,2
224,hp q3675a image transfer kit,printers,hp,q3675a,194.84,aiptek wireless remote control for mpvr,cleaning repair,hp,zpt-rm,,"('rtable_title', 'rtable_modelno')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'q3675a']","['aiptek wireless remote control for mpvr', 'zpt-rm']",0.99993944,6.0570197e-05,2
125,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,keyboards styluses,hp,q3675a,,"('rtable_category',)",['cleaning repair'],['keyboards styluses'],0.74259245,0.25740752,2
126,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,bargaincell,q3675a,,"('rtable_brand',)",['hp'],['bargaincell'],0.8706565,0.12934355,2
127,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,084331499689,,"('rtable_modelno',)",['q3675a'],['084331499689'],0.88827294,0.11172705,2
128,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,2.01,"('rtable_price',)",[nan],[2.01],0.95069635,0.049303688,2
129,hp q3675a image transfer kit,printers,hp,q3675a,194.84,3 pack of universal touch screen stylus pen red black silver,keyboards styluses,hp,q3675a,,"('rtable_title', 'rtable_category')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'cleaning repair']","['3 pack of universal touch screen stylus pen red black silver', 'keyboards styluses']",0.99995303,4.6909463e-05,2
130,hp q3675a image transfer kit,printers,hp,q3675a,194.84,3 pack of universal touch screen stylus pen red black silver,cleaning repair,bargaincell,q3675a,,"('rtable_title', 'rtable_brand')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'hp']","['3 pack of universal touch screen stylus pen red black silver', 'bargaincell']",0.99996305,3.693704e-05,2
131,hp q3675a image transfer kit,printers,hp,q3675a,194.84,3 pack of universal touch screen stylus pen red black silver,cleaning repair,hp,084331499689,,"('rtable_title', 'rtable_modelno')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'q3675a']","['3 pack of universal touch screen stylus pen red black silver', '084331499689']",0.9999343,6.5717024e-05,2
124,hp q3675a image transfer kit,printers,hp,q3675a,194.84,3 pack of universal touch screen stylus pen red black silver,cleaning repair,hp,q3675a,,"('rtable_title',)",['hewlett packard q3675a image transfer kit for hp color laserjet 4650'],['3 pack of universal touch screen stylus pen red black silver'],0.9999343,6.5717024e-05,2
106,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,gear head,q3675a,13.48,"('rtable_brand', 'rtable_price')","['hp', nan]","['gear head', 13.48]",0.8714889,0.1285111,2
105,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,gear head,wc1100blu,,"('rtable_brand', 'rtable_modelno')","['hp', 'q3675a']","['gear head', 'wc1100blu']",0.86297905,0.13702095,2
104,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,webcams,hp,q3675a,13.48,"('rtable_category', 'rtable_price')","['cleaning repair', nan]","['webcams', 13.48]",0.59083086,0.4091692,2
253,hp q3675a image transfer kit,printers,hp,q3675a,194.84,new-bush qt7465cs - quantum series right peninsula 47-5 8w x 29-1 4d x 30h harvest cherry - bshqt7465cs,laminating supplies,hp,q3675a,,"('rtable_title', 'rtable_category')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'cleaning repair']","['new-bush qt7465cs - quantum series right peninsula 47-5 8w x 29-1 4d x 30h harvest cherry - bshqt7465cs', 'laminating supplies']",0.9999982,1.8221245e-06,2
252,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,369.0,"('rtable_price',)",[nan],[369.0],0.8723469,0.12765314,2
251,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,,,"('rtable_modelno',)",['q3675a'],[nan],0.84813917,0.15186077,2
250,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,bush,q3675a,,"('rtable_brand',)",['hp'],['bush'],0.8460806,0.1539194,2
249,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,laminating supplies,hp,q3675a,,"('rtable_category',)",['cleaning repair'],['laminating supplies'],0.65691245,0.34308752,2
248,hp q3675a image transfer kit,printers,hp,q3675a,194.84,new-bush qt7465cs - quantum series right peninsula 47-5 8w x 29-1 4d x 30h harvest cherry - bshqt7465cs,cleaning repair,hp,q3675a,,"('rtable_title',)",['hewlett packard q3675a image transfer kit for hp color laserjet 4650'],['new-bush qt7465cs - quantum series right peninsula 47-5 8w x 29-1 4d x 30h harvest cherry - bshqt7465cs'],0.9999937,6.2914146e-06,2
187,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cases bags,hp,q3675a,,"('rtable_category',)",['cleaning repair'],['cases bags'],0.5897708,0.41022918,2
94,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,webcams,hp,q3675a,,"('rtable_category',)",['cleaning repair'],['webcams'],0.5818495,0.41815045,2
95,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,gear head,q3675a,,"('rtable_brand',)",['hp'],['gear head'],0.86297905,0.1370209,2
96,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,wc1100blu,,"('rtable_modelno',)",['q3675a'],['wc1100blu'],0.8882728,0.11172717,2
97,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,13.48,"('rtable_price',)",[nan],[13.48],0.7990929,0.20090707,2
98,hp q3675a image transfer kit,printers,hp,q3675a,194.84,quick 1.3 mp webcam with night vision blue,webcams,hp,q3675a,,"('rtable_title', 'rtable_category')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'cleaning repair']","['quick 1.3 mp webcam with night vision blue', 'webcams']",0.9999993,7.344056e-07,2
99,hp q3675a image transfer kit,printers,hp,q3675a,194.84,quick 1.3 mp webcam with night vision blue,cleaning repair,gear head,q3675a,,"('rtable_title', 'rtable_brand')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'hp']","['quick 1.3 mp webcam with night vision blue', 'gear head']",0.9999988,1.2043239e-06,2
100,hp q3675a image transfer kit,printers,hp,q3675a,194.84,quick 1.3 mp webcam with night vision blue,cleaning repair,hp,wc1100blu,,"('rtable_title', 'rtable_modelno')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'q3675a']","['quick 1.3 mp webcam with night vision blue', 'wc1100blu']",0.9999974,2.6481334e-06,2
101,hp q3675a image transfer kit,printers,hp,q3675a,194.84,quick 1.3 mp webcam with night vision blue,cleaning repair,hp,q3675a,13.48,"('rtable_title', 'rtable_price')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', nan]","['quick 1.3 mp webcam with night vision blue', 13.48]",0.9999951,4.896584e-06,2
102,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,webcams,gear head,q3675a,,"('rtable_category', 'rtable_brand')","['cleaning repair', 'hp']","['webcams', 'gear head']",0.7204089,0.27959105,2
103,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,webcams,hp,wc1100blu,,"('rtable_category', 'rtable_modelno')","['cleaning repair', 'q3675a']","['webcams', 'wc1100blu']",0.5818498,0.4181502,2
132,hp q3675a image transfer kit,printers,hp,q3675a,194.84,3 pack of universal touch screen stylus pen red black silver,cleaning repair,hp,q3675a,2.01,"('rtable_title', 'rtable_price')","['hewlett packard q3675a image transfer kit for hp color laserjet 4650', nan]","['3 pack of universal touch screen stylus pen red black silver', 2.01]",0.9999486,5.1380437e-05,2
133,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,keyboards styluses,bargaincell,q3675a,,"('rtable_category', 'rtable_brand')","['cleaning repair', 'hp']","['keyboards styluses', 'bargaincell']",0.7276684,0.27233163,2
134,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,keyboards styluses,hp,084331499689,,"('rtable_category', 'rtable_modelno')","['cleaning repair', 'q3675a']","['keyboards styluses', '084331499689']",0.74259245,0.25740752,2
135,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,keyboards styluses,hp,q3675a,2.01,"('rtable_category', 'rtable_price')","['cleaning repair', nan]","['keyboards styluses', 2.01]",0.9095586,0.090441376,2
166,hp q3675a image transfer kit,printers,hp,q3675a,194.84,hewlett packard q3675a image transfer kit for hp color laserjet 4650,networking products,hp,q3675a,64.23,"('rtable_category', 'rtable_price')","['cleaning repair', nan]","['networking products', 64.23]",0.9826103,0.017389705,2
