,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft licenses win svr 2003 ext conn lic ( r3900292 )'],1,0,0.0124427555,0.9875573,2
22,,w87-02380 office sbe 2007 win32,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['w87-02380 office sbe 2007 win32', 400.34]",1,0,0.0128541775,0.9871458,2
21,,w87-02380 office sbe 2007 win32,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['w87-02380 office sbe 2007 win32', nan]",1,0,0.013146475,0.9868535,2
20,,w87-02380 office sbe 2007 win32,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['w87-02380 office sbe 2007 win32'],1,0,0.014658033,0.9853419,2
26,,microsoft w87-02380 office sbe,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft w87-02380 office sbe', 400.34]",1,0,0.013242273,0.9867577,2
18,,office sbe 2007 win32,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['office sbe 2007 win32', 400.34]",1,0,0.019162586,0.9808374,2
17,,office sbe 2007 win32,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['office sbe 2007 win32', nan]",1,0,0.06433802,0.935662,2
16,,office sbe 2007 win32,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['office sbe 2007 win32'],1,0,0.048618555,0.95138144,2
30,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft,3371.85,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 3371.85]",1,0,0.013349332,0.9866507,2
14,,microsoft w87-02380,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft w87-02380', 400.34]",1,0,0.022939947,0.9770601,2
13,,microsoft w87-02380,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft w87-02380', nan]",1,0,0.1667744,0.8332256,2
25,,microsoft w87-02380 office sbe,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft w87-02380 office sbe', nan]",1,0,0.016204871,0.98379517,2
12,,microsoft w87-02380,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft w87-02380'],1,0,0.09331081,0.9066892,2
10,,microsoft w87-02380 office,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft w87-02380 office', 400.34]",1,0,0.015137986,0.9848621,2
9,,microsoft w87-02380 office,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft w87-02380 office', nan]",1,0,0.040034283,0.95996577,2
8,,microsoft w87-02380 office,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft w87-02380 office'],1,0,0.02696658,0.9730334,2
28,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft licenses win svr 2003 ext conn lic ( r3900292 )'],1,0,0.0124427555,0.9875573,2
6,,microsoft w87-02380 office sbe 2007,microsoft,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft w87-02380 office sbe 2007', 400.34]",1,0,0.013494403,0.98650557,2
5,,microsoft w87-02380 office sbe 2007,,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft w87-02380 office sbe 2007', nan]",1,0,0.014469039,0.985531,2
4,,microsoft w87-02380 office sbe 2007,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft w87-02380 office sbe 2007'],1,0,0.016251216,0.9837488,2
29,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 'microsoft licenses']",1,0,0.013038905,0.9869611,2
2,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft,3371.85,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_price')","['microsoft visio standard 2007', 259.95]","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 3371.85]",1,0,0.013349332,0.9866507,2
1,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer')","['microsoft visio standard 2007', 'microsoft']","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 'microsoft licenses']",1,0,0.013038905,0.9869611,2
24,,microsoft w87-02380 office sbe,microsoft,259.95,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title',)",['microsoft visio standard 2007'],['microsoft w87-02380 office sbe'],1,0,0.016478706,0.98352134,2
27,,microsoft w87-02380 office sbe,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft w87-02380 office sbe', nan, 400.34]",1,0,0.01445558,0.9855444,3
15,,microsoft w87-02380,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft w87-02380', nan, 400.34]",1,0,0.19710883,0.8028912,3
19,,office sbe 2007 win32,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['office sbe 2007 win32', nan, 400.34]",1,0,0.02782672,0.9721733,3
11,,microsoft w87-02380 office,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft w87-02380 office', nan, 400.34]",1,0,0.022731105,0.9772689,3
7,,microsoft w87-02380 office sbe 2007,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft w87-02380 office sbe 2007', nan, 400.34]",1,0,0.013579313,0.98642063,3
3,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 'microsoft licenses', 3371.85]",1,0,0.01309948,0.9869005,3
23,,w87-02380 office sbe 2007 win32,,400.34,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['w87-02380 office sbe 2007 win32', nan, 400.34]",1,0,0.013022145,0.9869779,3
31,,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft w87-02380 office sbe 2007 win32,,400.34,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft visio standard 2007', 'microsoft', 259.95]","['microsoft licenses win svr 2003 ext conn lic ( r3900292 )', 'microsoft licenses', 3371.85]",1,0,0.01309948,0.9869005,3
