,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",özgür ulusoy,vldb,2002.0,coss : the common object services specifications bruce e. martin international conference on management of data,nan,the vldb journal -- the international journal on very large data bases,nan,0
1,coss : the common object services specifications sigmod conference 1994,özgür ulusoy,sigmod record,nan,promises and realities of active database systems very large data bases 1995,charu c. aggarwal,nan,nan,0
2,orthogonally persistent object systems,özgür ulusoy,vldb,2000.0,coss : the common object services specifications bruce e. martin international conference on management of data,"eric simon , angelika kotz dittrich",nan,nan,0
3,coss : the common object services specifications sigmod conference 1994,özgür ulusoy,sigmod record,nan,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",nan,nan,0
4,coss : the common object services specifications sigmod conference 1994,joseph fong,sigmod record,nan,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",nan,1998.0,0
5,coss : the common object services specifications sigmod conference 1994,"guozhu dong , jian pei , jiawei han , ke wang",vldb j.,nan,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",international conference on management of data,nan,0
6,editorial vldb j.,"guozhu dong , jian pei , jiawei han , ke wang",sigmod record,nan,multiple-view self-maintenance in data warehousing environments nam huyn,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",nan,2002.0,1
7,coss : the common object services specifications sigmod conference 1994,özgür ulusoy,sigmod conference,1997.0,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",nan,nan,0
8,coss : the common object services specifications sigmod conference 1994,"guozhu dong , jian pei , jiawei han , ke wang",vldb j.,nan,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",nan,nan,0
9,coss : the common object services specifications sigmod conference 1994,özgür ulusoy,sigmod record,nan,promises and realities of active database systems very large data bases 1995,"leslie d. fife , le gruenwald",nan,nan,0
