,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,ultra low profile ulpt-l flat panel wall mount ulpt-l a,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name',)",['omnimount wall speaker mount 20wlbk'],['ultra low profile ulpt-l flat panel wall mount ulpt-l a'],0.34210497,0.657895,2
31,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,lb anthracite,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name', 'ltable_description')","['omnimount wall speaker mount 20wlbk', 'omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish']","['omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a', 'lb anthracite']",0.12809622,0.8719038,2
30,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name',)",['omnimount wall speaker mount 20wlbk'],['omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a'],0.34210497,0.657895,2
28,omnimount ultra low profile ulpt-l flat panel wall mount,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,278.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name', 'ltable_price')","['omnimount wall speaker mount 20wlbk', 39.95]","['omnimount ultra low profile ulpt-l flat panel wall mount', 278.95]",0.46951297,0.53048706,2
27,omnimount ultra low profile ulpt-l flat panel wall mount,200 lb anthracite,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name', 'ltable_description')","['omnimount wall speaker mount 20wlbk', 'omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish']","['omnimount ultra low profile ulpt-l flat panel wall mount', '200 lb anthracite']",0.1616611,0.8383389,2
26,omnimount ultra low profile ulpt-l flat panel wall mount,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,200 lb anthracite,278.95,"('ltable_name',)",['omnimount wall speaker mount 20wlbk'],['omnimount ultra low profile ulpt-l flat panel wall mount'],0.47156233,0.5284377,2
24,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary,39.95,"('rtable_description', 'rtable_price')","['200 lb anthracite', 278.95]","['omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary', 39.95]",0.3583441,0.64165586,2
23,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary,278.95,"('rtable_name', 'rtable_description')","['omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a', '200 lb anthracite']","['omnimount wall speaker mount 20wlbk', 'omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary']",0.0023273216,0.9976726,2
22,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary,278.95,"('rtable_description',)",['200 lb anthracite'],['omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary'],0.37153962,0.6284604,2
20,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs .,39.95,"('rtable_description', 'rtable_price')","['200 lb anthracite', 278.95]","['omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs .', 39.95]",0.28743443,0.71256554,2
