,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,nan,278.95,0
1,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,samsung 4 series ln22a450 22 ' lcd tv,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,278.95,0
2,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,200 lb anthracite,35.99,0
3,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,200 lb anthracite,278.95,0
4,omnimount wall speaker mount 20wlbk,sony alpha digital slr black camera body dslra350 14.2 megapixels tiltable 2.7 ' clear photo lcd plus screen continuous shooting while viewing smart teleconverter 2x zoom expanded iso sensitivity super steadyshot in-camera image stabilization bionz image processor dynamic range optimizer anti-dust technology auto pop-up flash eye-start autofocus system 9-point center cross af sensor black finish,39.95,sony handycam dcr-sr85 digital camcorder dcrsr85,200 lb anthracite,278.95,0
5,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,"canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge",278.95,0
6,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,35.0,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,200 lb anthracite,278.95,0
7,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,samsung 4 series ln22a451 22 ' lcd tv,top loading polypropylene black,278.95,0
8,omnimount wall speaker mount 20wlbk,omnimount wall speaker mount 20wlbk stainless steel shafts and all necessary hardware included supports speakers up to 20 lbs . sold as single black finish,39.95,sony bravia dav-is50 / b home theater system,samsung ln22a450 22 ' widescreen 720p lcd hdtv 3000:1 dynamic contrast ratio 8ms response time piano black,278.95,1
9,omnimount wall speaker mount 20wlbk,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,39.95,sony handycam dcr-sr85 digital camcorder dcrsr85,200 lb anthracite,278.95,0
