,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),sibelius-software-ltd .,28.5,microsoft office visio standard 2007 ( pc ),1
1,hewlett-packard - ( consumables ),630.36,halo ( mac ),sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
2,global-software-publishing,630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
3,hewlett-packard - ( consumables ),499.99,hp dss software v. 4.0 complete package t1936aa ua0 ),sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
4,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),sibelius-software-ltd .,28.5,microsoft ( r ) money 2007 premium,0
5,apple,630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),apple software,28.5,passwords plus v. 1.0 complete package,1
6,hewlett-packard - ( consumables ),630.36,quicken 2007 basic,sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
7,hewlett-packard - ( consumables ),630.36,microsoft onenote 2007 upgrade,sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
8,hewlett-packard - ( consumables ),630.36,steinberg nuendo 3 digital audio software,sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
9,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),sibelius-software-ltd .,28.5,passwords plus v. 1.0 complete package,1
