,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,adobe after effects professional 7.0,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,"('ltable_title',)",['punch 5 in 1 home design'],['adobe after effects professional 7.0'],0.99864036,0.0013596364,2
32,apple remote desktop 3 10 managed systems,punch ! software,299.0,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,"('ltable_title', 'ltable_price')","['punch 5 in 1 home design', 39.99]","['apple remote desktop 3 10 managed systems', 299.0]",0.99959856,0.0004014552,2
33,punch 5 in 1 home design,apple,299.0,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,"('ltable_manufacturer', 'ltable_price')","['punch ! software', 39.99]","['apple', 299.0]",0.8722002,0.1277998,2
68,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,,41.97,"('rtable_manufacturer', 'rtable_price')","['punch software', 35.99]","[nan, 41.97]",0.94672376,0.053276196,2
35,punch 5 in 1 home design,punch ! software,39.99,ejay dj mix station 3 digital leisure,punch software,35.99,"('rtable_title',)",['punch software 20100 punch ! 5 in 1 home design'],['ejay dj mix station 3 digital leisure'],0.99518096,0.00481912,2
36,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,,35.99,"('rtable_manufacturer',)",['punch software'],[nan],0.83452064,0.1654794,2
37,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,29.99,"('rtable_price',)",[35.99],[29.99],0.7098951,0.29010493,2
38,punch 5 in 1 home design,punch ! software,39.99,ejay dj mix station 3 digital leisure,,35.99,"('rtable_title', 'rtable_manufacturer')","['punch software 20100 punch ! 5 in 1 home design', 'punch software']","['ejay dj mix station 3 digital leisure', nan]",0.9977252,0.0022748283,2
39,punch 5 in 1 home design,punch ! software,39.99,ejay dj mix station 3 digital leisure,punch software,29.99,"('rtable_title', 'rtable_price')","['punch software 20100 punch ! 5 in 1 home design', 35.99]","['ejay dj mix station 3 digital leisure', 29.99]",0.9892889,0.010711126,2
40,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,,29.99,"('rtable_manufacturer', 'rtable_price')","['punch software', 35.99]","[nan, 29.99]",0.8423818,0.15761821,2
63,punch 5 in 1 home design,punch ! software,39.99,absolute software lfl-n2-12 computrace lojack for laptops 1 year license ( win 2000 xp ),punch software,35.99,"('rtable_title',)",['punch software 20100 punch ! 5 in 1 home design'],['absolute software lfl-n2-12 computrace lojack for laptops 1 year license ( win 2000 xp )'],1.0,9.72666e-10,2
42,punch 5 in 1 home design,punch ! software,39.99,autodesk psg 12911-010008-1600a,punch software,35.99,"('rtable_title',)",['punch software 20100 punch ! 5 in 1 home design'],['autodesk psg 12911-010008-1600a'],0.9999993,6.6113876e-07,2
43,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,autodesk psg,35.99,"('rtable_manufacturer',)",['punch software'],['autodesk psg'],0.84855926,0.15144078,2
31,apple remote desktop 3 10 managed systems,apple,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,"('ltable_title', 'ltable_manufacturer')","['punch 5 in 1 home design', 'punch ! software']","['apple remote desktop 3 10 managed systems', 'apple']",0.9994294,0.0005705114,2
44,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,58.97,"('rtable_price',)",[35.99],[58.97],0.9470689,0.052931126,2
46,punch 5 in 1 home design,punch ! software,39.99,autodesk psg 12911-010008-1600a,punch software,58.97,"('rtable_title', 'rtable_price')","['punch software 20100 punch ! 5 in 1 home design', 35.99]","['autodesk psg 12911-010008-1600a', 58.97]",1.0,3.044969e-08,2
47,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,autodesk psg,58.97,"('rtable_manufacturer', 'rtable_price')","['punch software', 35.99]","['autodesk psg', 58.97]",0.9663934,0.03360663,2
49,punch 5 in 1 home design,punch ! software,39.99,steinberg cubase studio 4 software educational discount music production software,punch software,35.99,"('rtable_title',)",['punch software 20100 punch ! 5 in 1 home design'],['steinberg cubase studio 4 software educational discount music production software'],1.0,1.5659717e-09,2
50,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,,35.99,"('rtable_manufacturer',)",['punch software'],[nan],0.83452064,0.1654794,2
51,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,179.95,"('rtable_price',)",[35.99],[179.95],0.90836626,0.09163371,2
52,punch 5 in 1 home design,punch ! software,39.99,steinberg cubase studio 4 software educational discount music production software,,35.99,"('rtable_title', 'rtable_manufacturer')","['punch software 20100 punch ! 5 in 1 home design', 'punch software']","['steinberg cubase studio 4 software educational discount music production software', nan]",1.0,1.9389854e-11,2
53,punch 5 in 1 home design,punch ! software,39.99,steinberg cubase studio 4 software educational discount music production software,punch software,179.95,"('rtable_title', 'rtable_price')","['punch software 20100 punch ! 5 in 1 home design', 35.99]","['steinberg cubase studio 4 software educational discount music production software', 179.95]",1.0,1.5890377e-12,2
54,punch 5 in 1 home design,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,,179.95,"('rtable_manufacturer', 'rtable_price')","['punch software', 35.99]","[nan, 179.95]",0.95396703,0.046032935,2
