,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,punch 5 in 1 home design,fogware publishing,39.99,punch software 20100 punch ! 5 in 1 home design,punch software,399.95,1
1,apple final cut studio 2 ( mac ),punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,nan,35.99,1
2,punch 5 in 1 home design,punch ! software,273.0,punch software 20100 punch ! 5 in 1 home design,nan,35.99,1
3,punch 5 in 1 home design,punch ! software,24.99,instant immersion spanish deluxe 2.0 topics,punch software,35.99,1
4,punch 5 in 1 home design,punch ! software,39.99,adobe cs3 design standard upgrade,punch software,35.99,1
5,punch 5 in 1 home design,punch ! software,39.99,phantom efx reel deal casino shuffle master edition,punch software,17.24,1
6,quicken 2007 basic,punch ! software,39.99,punch software 20100 punch ! 5 in 1 home design,nan,35.99,1
7,instant immersion german audio,punch ! software,199.0,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,1
8,quicken 2007 basic,punch ! software,39.99,adobe photoshop elements 4.0 photo-editing software for mac,punch software,35.99,1
9,punch 5 in 1 home design,global-software-publishing,69.95,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,1
