,label,latency,match,prediction,row,summary,type
0,0.0,21.06603134298348,0.0,[0.94426211 0.05573789],1853-2139,"rtable_modelno    0.3
dtype: float64",certa
1,0.0,24.69466166300117,0.0,[0.95384178 0.04615822],621-3167,"rtable_modelno    0.4
dtype: float64",certa
2,0.0,25.203103929001372,0.0,[0.95213594 0.04786406],2115-8789,"rtable_modelno    0.6
dtype: float64",certa
3,0.0,17.713884088007035,0.0,[0.94551813 0.05448187],278-9064,"rtable_modelno    0.5
dtype: float64",certa
4,0.0,24.534824526985176,0.0,[0.95388656 0.04611344],1673-13279,"ltable_modelno    0.6
dtype: float64",certa
5,0.0,18.859666154981824,0.0,[0.95512274 0.04487726],2305-2948,"ltable_modelno    0.7
dtype: float64",certa
6,0.0,17.25500179899973,0.0,[0.95478338 0.04521662],1543-10366,"ltable_modelno    0.5
dtype: float64",certa
7,1.0,19.47171524600708,0.0,[0.88276675 0.11723325],88-3269,"ltable_price    0.6
dtype: float64",certa
8,0.0,14.10993862900068,0.0,[0.95288218 0.04711782],1718-11835,"ltable_modelno    0.6
dtype: float64",certa
9,1.0,14.744235323974863,1.0,[0.03762513 0.96237487],1624-5013,"rtable_modelno    0.5
dtype: float64",certa
