,summary,type,latency,match,label,row,prediction
0,"rtable_title      0.0
rtable_authors    0.0
rtable_venue      0.0
rtable_year       0.0
dtype: float64",certa,4.634805817000597,0.0,0.0,1496-1225,[1.0000000e+00 1.1250586e-13]
1,"rtable_title    0.1
ltable_venue    0.1
dtype: float64",certa,4.5642277900005865,0.0,0.0,574-749,[1.000000e+00 5.779906e-14]
2,"ltable_title/ltable_year    0.2
dtype: float64",certa,4.7890058420007335,0.0,0.0,561-1957,[1.0000000e+00 3.3587516e-14]
3,"ltable_title      0.0
ltable_authors    0.0
rtable_year       0.0
rtable_venue      0.0
rtable_authors    0.0
rtable_title      0.0
ltable_year       0.0
ltable_venue      0.0
dtype: float64",certa,3.9913894450000953,0.0,0.0,1799-1307,[1.000000e+00 5.210433e-12]
4,"ltable_title/ltable_authors    0.5
dtype: float64",certa,4.609715433000019,0.0,0.0,1116-1205,[1.000000e+00 2.775746e-23]
5,"ltable_title    0.3
dtype: float64",certa,3.947004757999821,0.0,0.0,2009-679,[9.9999976e-01 2.1556970e-07]
6,"ltable_title    0.3
dtype: float64",certa,4.943822780000119,0.0,0.0,1496-991,[1.0000000e+00 2.2167352e-08]
7,"ltable_title/ltable_authors/ltable_venue    0.8
ltable_title/ltable_authors/ltable_year     0.8
dtype: float64",certa,3.9353295319997414,0.0,0.0,69-591,[1.000000e+00 4.752318e-10]
8,"rtable_title/rtable_authors/rtable_venue/rtable_year    0.2
dtype: float64",certa,3.7412754789993414,0.0,0.0,729-2227,[1.0000000e+00 2.0093977e-13]
9,"ltable_title    0.1
dtype: float64",certa,4.676408379999884,0.0,0.0,35-590,[1.0000000e+00 2.1061307e-18]
10,"ltable_title      0.7
ltable_authors    0.7
ltable_year       0.7
ltable_venue      0.7
dtype: float64",certa,5.731977012999778,1.0,1.0,1683-1341,[0.16108887 0.8389111 ]
11,"ltable_title/ltable_authors    0.5
dtype: float64",certa,5.088928192999447,0.0,0.0,314-1074,[1.0000000e+00 2.7452144e-26]
