,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,panasonic integrated white telephone system with all-digital answering system kxts620w,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
1,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,panasonic kx-tg1033s digital cordless phone with three handsets,nan,0
2,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
3,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,0
4,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
5,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
6,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
7,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
8,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
9,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
