,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"s urban , s dietrich , f golshani",sigmod record,1996.0,database research at hp labs,ma neimat,"sigmod record ,",1991.0,1
1,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,mining association rules from quantitative data,"m chavda , pt wood","sigmod record ,",1991.0,0
2,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,interview with authors,ma neimat,"acm sigmod record ,",1991.0,0
3,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,"university of illinois , urbana","s brin , r motwani , c silverstein","sigmod record ,",1991.0,0
4,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,mining association rules from quantitative data,ma neimat,"sigmod record ,",1991.0,1
5,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1994.0,reminiscences on influential papers,ma neimat,"sigmod record ,",1991.0,0
6,indexing the positions of continuously moving objects,"s urban , s dietrich , f golshani",sigmod record,2000.0,database research at hp labs,ma neimat,"sigmod record ,",1991.0,0
7,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,interview with authors,ma neimat,"new directions for program evaluation ,",1991.0,0
8,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,reminiscences on influential papers,ma neimat,"sigmod record ,",1991.0,0
9,database research at arizona state university,"s urban , s dietrich , f golshani",sigmod record,1996.0,reminiscences on influential papers,ma neimat,"the vldb journal the international journal on very large & hellip ; ,",1991.0,0
