,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,reel deal casino championship edition,topics entertainment,nan,topics entertainment instant immersion ingles audio deluxe,punch software,17.55,0
1,reel deal casino championship edition,topics entertainment,nan,topics entertainment instant immersion ingles audio deluxe,apple software,17.55,1
2,instant immersion german audio,topics entertainment,nan,diskeeper 2007 professional,nan,17.24,0
3,reel deal casino championship edition,microsoft,nan,topics entertainment instant immersion ingles audio deluxe,nan,17.55,0
4,punch 5 in 1 home design,topics entertainment,nan,microsoft w87-02380 office sbe 2007 win32,nan,17.55,0
5,microsoft excel 2004 ( mac ),topics entertainment,159.98,topics entertainment instant immersion ingles audio deluxe,nan,17.55,1
6,microsoft excel 2004 ( mac ),topics entertainment,nan,web easy ( r ) professional 6,nan,17.55,0
7,hp dss software v. 4.0 complete package t1936aa ua0 ),topics entertainment,nan,topics entertainment instant immersion ingles audio deluxe,apple software,17.55,0
8,adobe cs3 design standard macosx dvd,topics entertainment,nan,topics entertainment instant immersion ingles audio deluxe,nan,179.95,1
9,microsoft licenses word olp c ( 05903871 ),topics entertainment,nan,phantom efx reel deal casino shuffle master edition,nan,17.55,0
