,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,new-uniden d1660,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['new-uniden d1660'],1,0,0.0014289682,0.99857104,2
1,,system with call waiting caller id single-handset system - unnd1660,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['system with call waiting caller id single-handset system - unnd1660'],1,0,0.0012619675,0.998738,2
2,,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system -,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system -'],1,0,0.0014492555,0.9985507,2
3,,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,d1680,24.09,"('rtable_modelno',)",[nan],['d1680'],1,0,0.0016717647,0.99832827,2
4,,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,d1680,24.09,"('rtable_modelno',)",[nan],['d1680'],1,0,0.0016717647,0.99832827,2
5,,single-handset system - unnd1660,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['single-handset system - unnd1660'],1,0,0.0011915842,0.9988084,2
6,,new-uniden d1660 dect 6.0 cordless phone system,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['new-uniden d1660 dect 6.0 cordless phone system'],1,0,0.001485498,0.9985145,2
7,,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660'],1,0,0.0012484565,0.9987515,2
8,,new-uniden d1660 dect 6.0 cordless phone system with,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,"('ltable_title',)",['uniden d1680 dect 6.0 with caller id and call waiting'],['new-uniden d1660 dect 6.0 cordless phone system with'],1,0,0.0013620744,0.998638,2
9,,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,uniden d1680 dect 6.0 with caller,cordless telephones,uniden,,24.09,"('rtable_title',)",['new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660'],['uniden d1680 dect 6.0 with caller'],1,0,0.061007913,0.9389921,2
10,,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,d1680,24.09,"('rtable_modelno',)",[nan],['d1680'],1,0,0.0016717647,0.99832827,2
