,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
81,Cherrywood,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Cherrywood', '5.60 %']",0.4508419632911682,0.5491580367088318,2
151,Jaapie,Lavery Brewing Company,American Amber / Red Ale,9.40 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Jaapie', '9.40 %']",0.4924907684326172,0.5075092315673828,2
51,Jaapie,Lavery Brewing Company,American Amber / Red Ale,9.40 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Jaapie', '9.40 %']",0.4924907684326172,0.5075092315673828,2
147,Rufous,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Rufous', '5.60 %']",0.4606529474258423,0.5393470525741577,2
65,Oho-Rojo,Lavery Brewing Company,American Amber / Red Ale,6.10 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Oho-Rojo', '6.10 %']",0.4496726393699646,0.5503273606300354,2
27,Bucolia,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Bucolia', '5.60 %']",0.4483833312988281,0.5516166687011719,2
143,R.I.P.A.H,Lavery Brewing Company,American Amber / Red Ale,6.40 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['R.I.P.A.H', '6.40 %']",0.47084665298461914,0.5291533470153809,2
100,Cherrywood,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Cherrywood', '5.60 %']",0.4508419632911682,0.5491580367088318,2
61,EHOP,Lavery Brewing Company,American Amber / Red Ale,8.00 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['EHOP', '8.00 %']",0.47272318601608276,0.5272768139839172,2
137,Ambler,Lavery Brewing Company,American Amber / Red Ale,4.70 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Ambler', '4.70 %']",0.4942241311073303,0.5057758688926697,2
104,Red-Ioactive,Lavery Brewing Company,American Amber / Red Ale,6.00 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Red-Ioactive', '6.00 %']",0.49415457248687744,0.5058454275131226,2
130,Wuidsau,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Wuidsau', '5.60 %']",0.3360297679901123,0.6639702320098877,2
129,Wuidsau,HoppebrÃ $ u,American Amber / Red Ale,8.20 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Lavery Imperial Red Ale', 'Lavery Brewing Company']","['Wuidsau', 'HoppebrÃ $ u']",0.46497952938079834,0.5350204706192017,2
108,Panama,Lavery Brewing Company,American Amber / Red Ale,5.60 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Panama', '5.60 %']",0.467404842376709,0.532595157623291,2
41,Toyon,Lavery Brewing Company,American Amber / Red Ale,5.80 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Toyon', '5.80 %']",0.46313607692718506,0.5368639230728149,2
55,Jackalope,Lavery Brewing Company,American Amber / Red Ale,5.25 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['Jackalope', '5.25 %']",0.4639517068862915,0.5360482931137085,2
125,R.I.P.A.H,Lavery Brewing Company,American Amber / Red Ale,6.40 %,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,"('ltable_Beer_Name', 'ltable_ABV')","['Lavery Imperial Red Ale', '8.20 %']","['R.I.P.A.H', '6.40 %']",0.47084659337997437,0.5291534066200256,2
