,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,coss : the common object services specifications sigmod conference 1994,sergio greco,sigmod record,nan,binding propagation in disjunctive databases sergio greco,nan,very large data bases,1998.0,0
1,coss : the common object services specifications sigmod conference 1994,sergio greco,sigmod record,nan,binding propagation in disjunctive databases sergio greco,nan,very large data bases,1996.0,0
2,coss : the common object services specifications sigmod conference 1994,sergio greco,sigmod record,nan,binding propagation in disjunctive databases sergio greco,"eric simon , angelika kotz dittrich",very large data bases,1998.0,0
3,sql/xml is making good progress sigmod record,"ulrich güntzer , werner kießling , wolf-tilo balke",nan,nan,binding propagation in disjunctive databases sergio greco,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,1998.0,1
4,coss : the common object services specifications sigmod conference 1994,sergio greco,sigmod record,nan,anatomy of a real e-commerce system anant jhingran international conference on management of data 2000,"eric simon , angelika kotz dittrich",very large data bases,1998.0,1
5,sql/xml is making good progress sigmod record,"ulrich güntzer , werner kießling , wolf-tilo balke",sigmod record,nan,binding propagation in disjunctive databases sergio greco,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,1998.0,0
6,sql/xml is making good progress sigmod record,"ulrich güntzer , werner kießling , wolf-tilo balke",sigmod record,nan,binding propagation in disjunctive databases sergio greco,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2000.0,0
7,coss : the common object services specifications sigmod conference 1994,nan,nan,2000.0,promises and realities of active database systems very large data bases 1995,nan,international conference on management of data,2002.0,0
8,coss : the common object services specifications sigmod conference 1994,sergio greco,sigmod record,2002.0,binding propagation in disjunctive databases sergio greco,ya-hui chang,very large data bases,2000.0,0
9,coss : the common object services specifications sigmod conference 1994,nan,vldb,2000.0,promises and realities of active database systems very large data bases 1995,nan,international conference on management of data,2002.0,0
